,query,pub_date,source,headline1,headline2,snippet,lead_paragraph,keywords
16,Alzheimer,1996,The New York Times,New Nursing Home Rising in Westchester,New Nursing Home Rising in Westchester,"New Hebrew Hospital Home of Westchester, now under construction in Greenburgh, will offer residents maximum freedom of movement within sheltered grounds; drawing (S)s",Residents with Alzheimer's dementia will have the freedom of walking safely around their own landscaped garden when the new two-story Hebrew Hospital Home of Westchester is completed on a 30-acre site along Grasslands Road in the Town of Greenburgh by the summer of 1998.,"[{'name': 'glocations', 'value': 'Westchester County (NY)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Hebrew Hospital Home of Westchester', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}]"
15,Alzheimer,1997,The New York Times,Technology Helps Find Wanderers,Technology Helps Find Wanderers,Dozens of devices are developed to find Alzheimer's patients who wander off or to prevent them from wandering; other systems are being devised that harness satellite and Internet technologies; most widely used system for retrieving wanders is Safe...,"NIGHT was falling over the mountains around King, N.C., when Greg Pratt, chief of the Stokes County Mountain Rescue Team, learned that an elderly man suffering from dementia had wandered away from his home. The March temperature was headed toward freezing. ''It used to be, it would take us hours to find a wanderer in these woods, bloodhounds and all,'' Mr. Pratt said. ''This time it took 12 minutes.''","[{'name': 'organizations', 'value': ""ALZHEIMER'S ASSOCIATION"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'COMPUTERS AND INFORMATION SYSTEMS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'INTERNET AND WORLD WIDE WEB', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Missing Persons', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Identification Devices', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Satellites', 'rank': 7, 'major': 'N'}]"
17,Alzheimer,1997,The New York Times,Nordic Study Links Dementia To Drivers in Fatal Crashes,Nordic Study Links Dementia To Drivers in Fatal Crashes,"Study of brains of elderly drivers killed in automobile accidents in Sweden and Finland has found that unusually high percentage, as many as half, showed signs of early Alzheimer's disease; scientists say condition had not been diagnosed before th...","A study of the brains of elderly drivers killed in automobile accidents in Sweden and Finland has found that an unusually high percentage, as many as half, showed signs of early Alzheimer's disease, researchers said today. But the condition had not been diagnosed before their deaths, which led the scientists to suggest that even in its preliminary stages, Alzheimer's can cause enough mental impairment to make driving dangerous.","[{'name': 'glocations', 'value': 'Sweden', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Finland', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}]"
20,Alzheimer,1997,The New York Times,IS IT ART?,IS IT ART?,"Museum of Modern Art will exhibit works of Willem de Kooning executed while artist was in advanced stages of Alzheimer's disease; pictures have been panned by some critics, but many artists have done memorable work with handicaps (S)","1. This week the Museum of Modern Art opens ''Willem de Kooning: The Late Paintings, the 1980's,'' work executed while the artist was in the advanced stages of what is believed to be Alzheimer's disease. 2. The pictures were panned in San Francisco; one critic said they consist of ''big loopy ga-ga strokes.'' 3. Maybe so, but plenty of artists have done just fine with handicaps. Monet painted the water lily series at a time when cataracts and eye surgery affected his vision. 4. 'Style,' neurologically, is the deepest part of one's being,'' Oliver Sacks has written, ''and may be preserved, almost to the last, in a dementia.'' 5. Now 92, de Kooning is under round-the-clock supervision at his Long Island home. Visitors say he no longer recognizes anyone and seldom speaks.","[{'name': 'organizations', 'value': 'Museum of Modern Art', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'de Kooning, Willem', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Art', 'rank': 4, 'major': 'N'}]"
263,Alzheimer,1997,The New York Times,Special Therapy for Elderly,Special Therapy for Elderly,"Letter from Daniel A Reingold, executive vice president of Hebrew Home for the Aged at Riverdale, says many senior centers will need help accommodating complex care needs of frail elders and people with Alzheimer's disease and other dementia disor...",To The Home Section:,"[{'name': 'organizations', 'value': 'Hebrew Home for the Aged', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Reingold, Daniel A', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 5, 'major': 'N'}]"
8,Alzheimer,1998,The New York Times,Good Nights for Alzheimer's Patients and Helpers,Good Nights for Alzheimer's Patients and Helpers,"Hebrew Home for Aged in Riverdale section of Bronx offers unusual program that keeps Alzheimer's patients occupied at night while relatives who care for them get rest; because Alzheimer's is degenerative brain disease that leads to dementia, many ...","Lucille first noticed that her husband, Sonny, was slipping when he wrote checks. He would fill in the amount on the line for the date, and vice versa. But he did not want her to see him do it. And he denied that anything was wrong.","[{'name': 'organizations', 'value': 'Hebrew Home for the Aged', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sleep', 'rank': 3, 'major': 'N'}]"
9,Alzheimer,1998,The New York Times,Alzheimer's Gene Test: Facing the Answers,Alzheimer's Gene Test: Facing the Answers,"Profile of Janet Walsh, founder of Long Island Alzheimer's Foundation, whose father and other relatives had disease; genetic testing shows Walsh has high chance of getting Alzheimer's; photo (M)","WHEN Janet Walsh was 14 her father began showing signs of dementia. Four years later, at 62, he was given a diagnosis of Alzheimer's disease, considered a ''rare'' brain disorder in 1975.","[{'name': 'persons', 'value': 'Walsh, Janet', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 4, 'major': 'N'}]"
49,Alzheimer,1998,The New York Times,Lives; Last Communion,Lives; Last Communion,"Nancy Cobb describes her reluctance to speed up death of mother, who was stricken with Alzheimer's disease and who she believes took her own life by steadfastly refusing to eat in final act of will (M)","My mother knew she had alzheimer's disease long before it was diagnosed, her symptoms an eerie reprise of my father's dementia a scant decade earlier.","[{'name': 'persons', 'value': 'Cobb, Nancy', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Death and Dying', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'MERCY DEATH (EUTHANASIA)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Suicides and Suicide Attempts', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics', 'rank': 6, 'major': 'N'}]"
43,Alzheimer,2000,The New York Times,Calls Growing for Stopping Tube Feeding in Dementia,Calls Growing for Stopping Tube Feeding in Dementia,"Dr Muriel Gillick, writing in New England Journal of Medicine, says nursing homes and hospitals should end the widespread use of stomach tubes to feed people with advanced Alzheimer's disease or other types of dementia; says that there is no evide...","Nursing homes and hospitals should end the widespread use of stomach tubes to feed people with advanced Alzheimer's disease or other types of dementia, according to an article published today in The New England Journal of Medicine.","[{'name': 'organizations', 'value': 'Journal of the American Medical Assn', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'New England Journal of Medicine', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Death and Dying', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Life-Sustaining Support Systems, Withdrawal Of', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Food', 'rank': 8, 'major': 'N'}]"
156,Alzheimer,2000,The New York Times,"Paid Notice: Deaths  CARR, DOROTHY HEALEY","Paid Notice: Deaths  CARR, DOROTHY HEALEY",,"CARR-Dorothy Healey, born on July 17, 1917, loving wife of Peter, & mother of Kevin, Brian, Michael, Kelly Anne & Colin, passed away peacefully June 25, 2000 at the San Diego Hospice. Dorothy suffered with CHF, COPD, HTN, Dementia of Alzheimer's Type. Following a family service at the Church of Nativity, Rancho Santa Fe, CA, her ashes were scattered at sea. After graduating Cum Laude from Trinity College, Washington D.C., Dorothy served in the last class of The Women's Auxiliary Service Pilots (WASPS) in World War II. Dorothy & Peter Carr were married January 23, 1954 at St. Patrick's Cathedral, NY where they resided until they moved to Greenwich, CT. in 1957. In 1983, the Carrs moved to Rancho Santa Fe, CA. In addition to her husband, Peter, Dorothy is survived by four of their five children. Michael passed away in 1995. Kevin, wife Randa & daughter Caroline reside in Simsbury, CT. Brian, his wife Nancy & their children Ryan, Victoria & Daniel are living in Cos Cob, CT. Kelly Anne, husband Neil Winterbottom & two girls, Caitlin & Jennifer live in San Mateo, CA. Colin currently resides in Terrebonne, OR. Those wishing to honor the memory of Dorothy Carr may make donations to the San Diego Hospice, 4311 Third Avenue, San Diego, CA. 92103.","[{'name': 'persons', 'value': 'Carr, Dorothy Healey', 'rank': 1, 'major': 'N'}]"
