,query,pub_date,source,headline1,headline2,snippet,lead_paragraph,keywords
0,dementia,1995,International Herald Tribune,"1920:Religious Dementia : IN OUR PAGES:100, 75 AND 50 YEARS AGO","1920:Religious Dementia : IN OUR PAGES:100, 75 AND 50 YEARS AGO","HALLE, Saxony - It is learned that the little town of Falkenberg has become afflicted by collective and contagious religious dementia of the sort that so frequently broke out in various parts of Europe in the Middle Ages and following the Napoleon...","HALLE, Saxony - It is learned that the little town of Falkenberg has become afflicted by collective and contagious religious dementia of the sort that so frequently broke out in various parts of Europe in the Middle Ages and following the Napoleonic wars. Men and women in the town have formed a sect, the members of which believe themselves to be in direct communication with the Holy Ghost.",[]
5,dementia,1995,The New York Times,"Friends, Romans, Police Greet Seles for Return","TENNIS; Friends, Romans, Police Greet Seles for Return",,"Finally, on the eve of Seles versus Navratilova, the exhibition match that has taken on all the dimension and dementia of a soap opera, the mystery player showed up in the flesh today, proof positive that tennis history can happen in the strangest of spots, even a hot spot like this gaudy boardwalk.","[{'name': 'persons', 'value': 'Seles, Monica', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Navratilova, Martina', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Tennis', 'rank': 4, 'major': 'N'}]"
17,dementia,1995,The New York Times,ENDPAPER;PJ Day,ENDPAPER;PJ Day,,"It started with Vincent (the Chin). For about a year now, I have been reading that Vincent (the Chin) Gigante, the reported boss of the Genovese crime family, walks around his neighborhood, Greenwich Village, wearing only his pajamas. (Mr. Gigante, it seems, may be feigning dementia in order to avoid standing trial in Federal court.) Then I came across the book ""Duplex Planet,"" a collection of interviews of nursing-home residents, one of whom attests, ""If you are an old man, and you go into a bar in pajamas, people will buy you drinks.""","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'ALFROD, HENRY', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Pajamas', 'rank': 3, 'major': 'N'}]"
41,dementia,1995,The New York Times,ON THE TOWNS,ON THE TOWNS,,"An opinionated guide to cultural and recreational goings-on around the state this week. To submit items for consideration, write to On the Towns, Sunday New Jersey Section, The New York Times, 229 West 43d Street, New York, N.Y. 10036, or send a fax to (212) 556-7219. MUSIC ALBERT MUSIC HALL The Pinelands Cultural Society presents ""Sounds of the Jersey Pines,"" a series of Saturday night concerts, through the end of the year. The program features live presentations of bluegrass, country and Pinelands music. Show time, 8 P.M. Admission: $4; $1 for children under 12. 139 Wells Mill Road (Route 532), Waretown. (609) 971-1593. BRIDGETON'S RIVERFRONT Joe Dales Big Band wraps up the series of free Sunday concerts tonight at 8. Routes 49 and 77 in Bridgeton. (609) 451-9208. DUKE ISLAND PARK, BRIDGEWATER The Somerset County Park Commission concludes its free summer concert series with Jan Lewan and his orchestra as they present the sounds of polka. Tonight at 7. (908) 722-1200, extension 221. FAIR LAWN SUMMER MUSIC FESTIVAL The Sunday evening concerts continue. ""Musical Hits and Sounds of the Big-Band Era,"" conducted by Dick Lowenthall. Tonight at 8. Next week, community dancing to the music of Alex Watkins wraps up the series on Sept. 3. Free, but take your own chairs. Memorial Park and Berdan Avenue, Fair Lawn. (201) 796-6746. GARDEN STATE ARTS CENTER The Beach Boys with Christopher Cross. Tonight at 8. Tickets: $20-$35. Tony Bennett with the New Jersey Symphony Orchestra. Tuesday at 8:30 P.M. Tickets: $22.50-$47.50. George Benson with Roberta Flack. Wednesday at 8 P.M. Tickets: $18-$35. Alan Jackson with Lee Roy Parnell. Thursday at 8 P.M. Tickets: $22.50-$40. Exit 116 on the Garden State Parkway, Holmdel. (908) 442-9200. GREAT AUDITORIUM, OCEAN GROVE ""Golden Oldies and Doo-Wop Show,"" with Emil Stucchio and the Classics, Eugene Pitt and the Jive Five, Fred Parris and the Five Satins, and Speedo and the Cadillacs. Saturday at 8 P.M. Tickets: $15-$20. Next week, ""Bluegrass Bonanza"" with the Reno Brothers, the Nashville Bluegrass Band and Jimmy Martin and the Sunny Mountain Boys. Tickets: $12. Pilgrim Pathway, Ocean Grove. (908) 775-0035. SUMMERFEST '95 CONCERTS The Morris County Park Commission concludes its free concert series with Bill Turner and Blue Smoke. Today at 3 P.M. Frelinghuysen Arboretum, 53 East Hanover Avenue, Morris Township. (201) 326-7600. TURNING POINT Richard Shindell. Tonight at 7:30. Tickets: $10. Open Mike with Rick Ilowite. Wednesday at 7 P.M. Admission: $2. Pete and Maura Kennedy and the Nudes. Thursday at 8 P.M. Tickets: $10. Kris Kristofferson. Friday at 7:30 and 10 P.M. Tickets: $30. Bill Perry Blues Band. Saturday at 10 P.M. Tickets: $10. Popa Chubby. Next Sunday at 7:30 P.M. Tickets: $15. 468 Piermont Avenue, Piermont, N.Y. (914) 359-1089. VILLAGERS THEATER The Garden State Opry, a monthly country music revue, presents the Fox Hill Bluegrass Band; Carol Selick and Robin Foss, country singers; Ed Krizni and Billy Phillips, singers and guitarists; Liz Klosowki, a country folk singer, and the Men's Quartet of the Somerset Community Baptist Church. Saturday at 8 P.M. Tickets: $7.50, or $5 for children. 475 DeMott Lane, Somerset. (908) 274-2748. MUSEUMS AND GALLERIES ARTISTS SHOWCASE ""Angels and Guardians in Metal: Garden Sculpture and Other Decorative Works,"" by R. C. Thomas and Edward Casagrande. ""Flowers of Summer: Watercolors and Oils,"" by Ida Butterfield, Cathy Lang and Barbara Przytuska. Today, 11:30 A.M. to 5 P.M. 10 Budd Avenue, Chester. (908) 879-9552. ATRIUM GALLERY ""Landscape,"" an exhibition of photographs by Greg Leshe and Nancy Ori. Monday through Friday, 9 A.M. to 4 P.M. Through Aug. 31. Chubb Group of Insurance Companies, 15 Mountain View Road, Warren. (908) 903-2000. BERGEN MUSEUM OF ART AND SCIENCE ""The Spinning Face of Gravity: Tops by Joe Van Putton"" consists of a series of giant tops. Through Sept. 10. ""Kenneth Licht: 10 Years of Art Boxes"" displays 85 art boxes filled with collages and collections of objects. Through the end of summer. Tuesday through Saturday, 9:30 A.M. to 4:30 P.M.; Sunday, 1 to 5 P.M. Suggested admission: adults, $2.50; children, $1. 327 East Ridgewood Avenue, Paramus. (201) 265-1248. EVERHART GALLERY ""Summer Group Show,"" with architectural renderings by Lauren V. Walling and photographs by Bill Vandever. Through Aug. 30. Tuesday through Saturday, 11 A.M. to 6 P.M. 117 South Maple Avenue, Basking Ridge. (908) 221-9007. GALLERY AT SCHERING-PLOUGH ""Celebration of Light and Shadow"" displays more than 35 oils, pastels and sculptures by Marilyn Ostrich-Nelson. Through Sept. 29. Monday through Friday, 10 A.M. to 4 P.M. 1 Giralda Farms, Madison. (201) 822-7000. GROUNDS FOR SCULPTURE ""Spring-Summer 1995 Exhibition,"" featuring recent works by James Dinerstein, Jesse Moore and Yuyu Yang. Through Sept. 30. Tuesday through Thursday, by appointment, and Friday through Sunday, 10 A.M. to 4 P.M. 18 Fairgrounds Road, Hamilton. (609) 586-0616. HISTORICAL SOCIETY OF ROCKLAND COUNTY Through objects, stories and photographs, ""Hidden Children: The Youngest Survivors of the Holocaust"" chronicles the histories of 17 children who escaped Nazi persecution in sanctuaries from convents and farms to underground bunkers. Through Nov. 12. Tuesday through Sunday, 1 to 5 P.M. Suggested donation: $3. 20 Zukor Road, New City, N.Y. (914) 634-9629. HUNTERDON ART CENTER ""NYC Underground,"" 17 oil canvas paintings of New York City's subway system and tunnels by Alexandra Dell'amore. Today, 11 A.M. to 5 P.M. ""The Fine Art of Illustration,"" an exhibition of the original art of the greatest illustrators past and present, from Norman Rockwell and Charles Dana Gibson to Bernie Fuchs, Milton Glaser and Joseph Bowler Jr., begins next Sunday with a reception from 3 to 5 P.M. 7 Lower Center Street, Clinton. (908) 735-8415. JERSEY CITY MUSEUM ""Albizu Lives,"" a visual commemoration. Through Sept. 16. Tuesday, Thursday, Friday, 10:30 A.M. to 5 P.M. and Wednesday, 10:30 A.M. to 8 P.M. 472 Jersey Avenue, Jersey City. (201) 547-4514. JOHNSON ATELIER EXTENSION GALLERY Sculpture by Autin Wright. Though Aug. 31. Monday through Thursday, 10 A.M. to 4 P.M. 60 Ward Avenue Extension, Mercerville. Off Route 33 West. (609) 890-7777. LENA DI GANGI GALLERY Bill Block displays his reverse glass piantings. Starts Friday. Through Sept. 30. Tuesday through Friday, 1 to 6 P.M., and Saturday, 1 to 4 P.M. Reception on Sunday, Sept. 10, from 1 to 5 P.M. 744 McBride Avenue, West Paterson. (201) 345-1210. LONG BEACH ISLAND FOUNDATION OF ARTS AND SCIENCE ""Foundation Member, Student and Faculty Show. "" Through Sept. 4. Monday through Saturday, 9 A.M. to 5 P.M., and Sunday, noon to 4 P.M. Free. 120 Long Beach Boulevard, Loveladies. (609) 494-3169. LOUIS ARMSTRONG EXHIBITION Paintings, collages, drawings and collages are used to illuminate the life and music of Louis Armstrong. The exhibition, subtitled ""A Cultural Legacy,"" is running at two Camden locations through Oct. 7. The Walt Whitman Cultural Arts Center, 2d and Cooper Streets, Monday through Friday, 10 A.M. to 4 P.M. (609-964-8300), and the Stedman Art Gallery, on the campus of Rutgers University, Monday through Saturday, 10 A.M. to 4 P.M. (609-225-6245). McFAUL ENVIRONMENT CENTER ""Bypassed Places,"" an exhibition of New Jersey landscapes. Through Saturday. Monday through Friday, 8:30 A.M. to 4:45 P.M.; Saturday and Sunday, 1 to 4:45 P.M. Crescent Avenue, Wycoff. (201) 891-5571. MERRILL LYNCH GALLERY ""Shadows and Memories,"" photographs by Nancy Ori. Monday through Friday, 9 A.M. to 5 P.M. 800 Scudders Mill Road, Plainsboro. (609) 282-3401. MONMOUTH COUNTY HISTORICAL ASSOCIATION MUSEUM AND LIBRARY ""Optical Delights: Stereographic Views of Monmouth County"" presents images of Victorian life. Through February 1996. Tuesday through Saturday, 10 A.M. to 4 P.M., and Sunday, 1 to 4 P.M. Admission: $2 for adults, $1 for children and $1.50 for the elderly. 70 Court Street, Freehold. (908) 462-1466. MONTCLAIR ART MUSEUM ""Still Life Works From the Collection"" offers 13 paintings by American artists ranging in style from 19th-century realism to 20th-century modernism. Through September. ""Elizabeth Berdann,"" a self-titled installation featuring portraits of elderly women in a nursing home. Through Oct. 1. ""Affinities and Influences: Native American Art and American Modernism,"" through Oct. 1. Wednesday through Sunday, noon to 5 P.M. Admission: $4, or $3 for the elderly and students with ID. 3 South Mountain Avenue, Montclair. (201) 746-5555. MORRIS COUNTY HISTORICAL SOCIETY ""A Bouquet of Brides"" features more than a dozen wedding gowns dating to 1750 and reflecting a variety of styles and histories. Through October. Admission: $3. Thursday, 11 A.M. to 3 P.M., and Sunday, 1:30 to 4 P.M. 68 Morris Avenue, Morristown. (201) 267-3465. MORRIS MUSEUM The New Jersey Fine Arts Annual features 26 visual artists and crafts people throughout the state and their works in sculpture, photography, textiles, painting and mixed media. Through September. ""Albert Green: The Celebration of a Master Potter,"" a posthumous retrospective. Through Sept. 17. Monday through Saturday, 10 A.M. to 5 P.M., and Sunday, 1 to 5 P.M. Admission: $4; $2 for students and the elderly. 6 Normandy Heights Road, Morristown. (201) 538-0454. NABISCO GALLERY ""Crossing Over,"" an exhibition of 80 mixed-media works by 20 contemporary Russian artists. Through Sept. 7. Daily, noon to 4 P.M. River Road and DeForest Avenue, East Hanover. (201) 503-3238. NEWARK MUSEUM ""New Jersey Arts Annual: Celebrating Diversity in Crafts"" takes a look at traditional and modern works in the state. Through Oct. 15. ""American Art Pottery: An Uneasy Evolution, 1880-1930."" Through Oct. 22. ""Astronauts: The Star Travelers"" features photographs of the Apollo XI flight. Through Dec. 31. Wednesday through Sunday, noon to 5 P.M. 49 Washington Street, Newark. (201) 596-6550. NEW JERSEY HISTORICAL SOCIETY ""Moving Through Memory: Caribbean Folk Arts in New Jersey."" Through April 1996. Tuesday through Friday, 10 A.M. to 4 P.M. 230 Broadway, Newark. (201) 483-3939. NEW JERSEY STATE MUSEUM ""Baseball in New Jersey: The Game of History."" Through today. Tuesday through Saturday, 9 A.M. to 4:45 P.M., and Sunday, noon to 5 P.M. 205 West State Street, Trenton. (609) 292-6308. NOYES MUSEUM ""Drawing Outside the Lines: Works on Paper by Outsider Artists"" presents drawings in pencil, crayon and other media, with work by Eddie Arning, Minnie Evans, Bill Traylor and Martin Ramirez. Through Sept. 17. Wednesday through Sunday, 11 A.M. to 4 P.M. Admission: $3; the elderly, $1.50; students and children under 18, 50 cents; free on Fridays. Lily Lake Road, Oceanville. (609) 652-8848. PATERSON MUSEUM ""Now and Then: Sculptures and Paintings by Joe Ruffilo."" Starts Friday. Through Sept. 30. Tuesday through Friday, 10 A.M. to 4 P.M.; Saturday and Sunday, 12:30 to 4:30 P.M. 2 Market Street, Paterson. Reception next Sunday from 2 to 5 P.M. (201) 881-3874. PATERSON PUBLIC LIBRARY ""Imagenes Contra el SIDA/Images Against AIDS,"" a series of silk-screen prints created by 36 Latino artists to heighten awareness of the disease. Through Sept. 30. Monday through Thursday, 9 A.M. to 8 P.M., and Friday and Saturday, 9 A.M. to 5 P.M. 250 Broadway, Paterson. (201) 948-5200. PETERS VALLEY CRAFT CENTER ""Artists in Residence,"" featuring works in wood, fiber, ceramics, fine metals, blacksmithing metals and photography. Through Dec. 31. Sunday through Thursday, 10 A.M. to 5 P.M., and Friday and Saturday, 10 A.M. to 9 P.M. 19 Kuhn Road, Route 615, Layton. (201) 948-5200. PIERMONT FINE ARTS GALLERY ""Around the World in 18 Days"" presents paintings, sculpture, ceramics, prints, drawings and collage inspired by places near and far. Through Sept. 10. Dorothy Dallas discusses ""Water Views: England."" Today at 5 P.M. Rosemary Aiello, ceramist, will present a talk and slide presentation on how her travels to New Mexico -- and the history of Indian pottery from A.D. 400 to the present -- have influenced her work. Next Sunday at 5 P.M. 218 Ash Street, Piermont, N.Y. (914) 398-1907. POLO GALLERY ""Bound Nature-Tamed Land: Studies in Landscapes and Still Life,"" the works of Opal Jean Antimori. Through Sept. 16. Tuesday, Wednesday, Thursday and Saturday, 1 to 6 P.M., and Friday, 1 to 7 P.M. 276 River Road, Edgewater. (201) 945-8200. PRINTMAKING COUNCIL OF NEW JERSEY ""Dimension Dementia: Prints Pushed Into Three Dimensions."" Through Oct. 7. ""Award Show: Best-in-Show Winners From the 21st Juried Members Exhibit."" Through Friday. Wednesday through Friday, 11 A.M. to 4 P.M., and Saturday 1 to 4 P.M. 440 River Road, North Branch. (908) 725-2110. RINGWOOD MANOR STATE PARK ""First Annual Expo"" features three of the best works of active members of the Ringwood Manor Association of the Arts. Through Sept. 10. Wednesday, Saturday and Sunday, 1 to 4:30 P.M. Sloatsburg Road, Ringwood. (201) 962-7031. RIVERRUN GALLERY ""Myth in Modern Times,"" an exhibition of contemporary European and American art inspired by mythology. Today, noon to 5 P.M., and tomorrow, 10 A.M. to 5 P.M. 287 South Main Street, Lambertville. (609) 397-3349. STEAMROLLER GALLERY ""The Black Eddy,"" a collaborative occurence led by Nell Bernstein. Through Sept. 17. Friday and Saturday, noon to 9 P.M. and Sunday, noon to 6 P.M. 52 Bridge Street, Frenchtown. (908) 996-7279. STONY BROOK GALLERY ""Views of Nature,"" a group show by artists from throughout New Jersey. Wednesday through Friday, 10 A.M. to 4 P.M. Buttinger Center, 31 Titus Mill Road, Hopewell Township. (609) 737-7592. TRENTON ARTISTS WORKSHOP ASSOCIATION ""Trenton Takes: 24 Hours in the City,"" a photo documentary featuring the works of 32 regional photographers. Through Oct. 8. Tuesday through Saturday, 11 A.M. to 3 P.M., and Sunday, 2 to 4 P.M. Reception on Sept. 9 from 6 to 8 P.M. (609) 989-3632. UNTITLED (#130) LTD Ginger Schmidt displays her furniture created primarily around animal themes. Through Sept. 17. Reception on Friday from 6 to 8 P.M. Thursday and Friday, 5:30 to 8:30 P.M.; Saturday, 10 A.M. to 6 P.M., and Sunday, noon to 5 P.M. 130 Ryerson Avenue, Wayne. (201) 633-6767. WATCHUNG ARTS CENTER ""Red-Hot-Blue,"" paintings and photographs from the members of the New Art Group. Through Thursday. ""Annual Member Show"" begins on Sept. 5 and runs through Sept. 30. Reception on Sept. 9 from 7 to 10 P.M. Monday through Saturday, 1 to 4 P.M. 18 Stirling Road, Watchung. (908) 753-0190. THEATER EAST LYNNE COMPANY ""Tortesa, the Usurer."" Wednesday through Saturday at 8:30 P.M. Through Sept. 9. Tickets: $14, or $12 for the elderly. Lyle Hall of the First United Methodist Church, Cape May. (609) 884-6900. NEW JERSEY SHAKESPEARE FESTIVAL ""Artists and Admirers,"" by Alexander Ostrovsky; directed by Bonnie J. Monte. Through Sept. 10. Tuesday, Thursday and Friday at 8 P.M., Wednesday and Saturday at 2 and 8 P.M. and Sunday at 2 and 7 P.M. Tickets: $16-$30. Bowne Theater at Drew University, 36 Madison Avenue, Madison. (201) 408-5600. ROOSEVELT PARK AMPHITHEATER The Middlesex County Department of Parks and Recreation presents Plays-in-the-Park 1995. ""The Odd Couple."" Monday through Thursday at 8:30 P.M. Tickets: $3. The summer season will conclude with ""Dance-in-the-Park 4."" Sept. 7-9 at 8 P.M. One block south of the Menlo Park Shopping Mall, off Route 1, Edison. (908) 548-2884. SOMERSET VALLEY PLAYHOUSE ""Nunsense,"" the musical comedy by Dan Googin, as presented by the Somerset Valley Players. Directed by Linda Giordano. Tonight at 7, Friday and Saturday at 8:30 P.M., next Sunday at 7 P.M. and Sept. 8-10 and 15-17. Tickets: $15. (908) 369-7469. FOR CHILDREN BELLEVILLE PUBLIC LIBRARY Corky the Clown presents a performance Monday at 7:30 P.M. Free. 221 Washington Avenue, Belleville. (201) 450-3434. LIBERTY SCIENCE CENTER Visitors have their choice of two films that will take them on a journey into the far reaches of outer space or to the murky depths of the sea. ""Destiny in Space,"" narrated by Leonard Nimoy, gives viewers a look outside the Earth with footage of nine space shuttle missions. Daily, noon and 2 P.M. ""The Living Sea,"" narrated by Meryl Streep, with original music by Sting, sends you into an underwater world with exotic sea creatures. Daily, 10 and 11 A.M. and 1, 3 and 4 P.M. Admission: $7 for adults; $6 for students and the elderly; $5 for children under 12. 251 Phillip Street, Jersey City. (201) 451-0006, extension 295. MEADOW THEATER The Meadow Kids' Summer Clubhouse offers a new show every week with audience participation, songs, games, dancing, improvisations and short plays. Saturday at 11 A.M. Tickets: $5. Galleria Atrium, Bridge Avenue and West Front, Red Bank. (908) 758-0099. WAYNE PUBLIC LIBRARY ""Bead-a-Pin Decoration."" Children 7 and older will learn how to make a wearable and colorful bead-a-pin decoration. Wednesday, 10 to 10:30 A.M. All materials, save for a small bottle of white glue, will be supplied by the library. Pre-registration required. Free. 12 Nellis Drive, Wayne. (201) 694-4272. ETC. ACORN HALL The Morris County Historical Society presents an antique car rally and exhibition. Visitors will have a chance to speak with the owners. The rally is free, but admission to the hall is $3. Today, 1:30 to 4 P.M. 68 Morris Avenue, Morristown. (201) 267-3465. BERGENFIELD LIBRARY AND INFORMATION CENTER The Friends of Bergenfield Library presents a Classic Books on Film series. The film adaptation of ""Pride and Prejudice,"" by Jane Austen, will be discussed. Tuesday at 10:30 A.M. Free. 50 West Clinton Avenue, Bergenfield. (201) 387-4040. COOPER MILL Take a trip back to the 19th century and the drudgery that was ironing: pushing a hot iron over wrinkles until it was too cool to continue and then replacing it with another hot iron from the cookstove. Inspect antique irons and other common household objects. Today, 1 to 4 P.M. Admission is by donation. County Route 513, Chester Township. (908) 879-5463. FLEA MARKET The Chester Lions Club Flea Market offers craft items, linens, books, children's clothing, housewares, plants and produce, makeup, jewelry, scarves, handbags and other accessories. Sundays, 9 A.M. to 5 P.M., through Dec. 19. Free. West Blackwell Street, Morris and Sussex Streets in downtown Dover. (201) 442-1494. GARDEN STATE EXHIBIT CENTER ""Antiques Weekend in Somerset"" offers a show and sale for the soon-to-be or newly married: from wedding gowns, engagement rings and other jewelry to heirloom china, silver and furniture. Other features include a restoration service and a seminar, ""Antique Furniture: How to Buy It Right."" Today, 10 to 6 P.M. Admission: $6. Exit 6 off Route 287, Somerset. (201) 384-0010. LIBERTY SCIENCE CENTER Can you name the five basic machines upon which all modern machinery is based? If the answer is no, the ""Simple Machines"" exhibition on the invention floor will teach you what they are and how they are used in everyday life. Today, 11:30 A.M. to 1 P.M., and 2 to 4 P.M. Admission: $9 for adults; $8 for students and the elderly; $7 for children under 12. 251 Phillip Street, Jersey City. (201) 451-0006, extension 295. MUSEUM OF EARLY TRADES AND CRAFTS Visitors are invited to an ""Old-Fashioned Labor Day Picnic"" on the museum grounds while enjoying traditional music, a puppet show and puppet-making by the Patchwork Puppet Theater, a bicycle decorating competition and parade and 19th-century games. Next Sunday, noon to 4 P.M. $10 a family includes music, games and contest registration. Main Street and Green Village Road, Madison. (201) 377-2982. MURDER TO GO ""Murderous Crossings,"" an interactive wedding and Agatha Christie-style mystery that challenges the audience to solve ""whodunit."" Saturdays, 8 P.M. Through Sept. 30. Il Giardino Restaurant, Cedar Knolls. ""Killing Mr. Withers,"" an Alfred Hitchcock-style comic mystery thriller set in the 1950's. Saturdays, 8 P.M. Through Dec. 30. Woodbridge Sheraton, Woodbridge. The $42 ticket price includes a four-course meal. (201) 301-0562. RIDGEWOOD RACQUET CLUB Advanced and beginner players are invited to a fall open house next Sunday from 1 to 4 P.M., with free instruction, playing time, refreshment and prizes. A radar gun will be available to measure your serve's speed. Loaner racquets are available at the club. 249 Ackerman Avenue, Ridgewood. (201) 652-1991. ROCKAWAY TOWNSQUARE ""Making a Differqnce: One Square at a Time"" exhibits 24 quilts made by artisans in the area for children with H.I.V. or AIDS. Through Sept. 24. Monday through Saturday, 10 A.M. to 9:30 P.M., and Sunday, 11 A.M. to 6 P.M. Route 80 and Mount Hope Avenue, Rockaway. (201) 361-4070.","[{'name': 'glocations', 'value': 'New Jersey', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Entertainment and Amusements', 'rank': 2, 'major': 'N'}]"
0,dementia,1996,The New York Times,THEATER REVIEW;A Monarch's Slide Into Dementia,THEATER REVIEW;A Monarch's Slide Into Dementia,,"It is kindest, perhaps, to think of it as merely another bead on the abacus: No. 30 out of 36 in the continuing marathon of the complete plays of William Shakespeare from the New York Shakespeare Festival. It's the most difficult one to get right, anyway: practically impossible. And now at least, for the record, it has been done.","[{'name': 'organizations', 'value': 'PAPP, JOSEPH, PUBLIC THEATER', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'NEW YORK SHAKESPEARE FESTIVAL', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Shakespeare, William', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'ABRAHAM, F MURRAY', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'King Lear (Play)', 'rank': 7, 'major': 'N'}]"
1,dementia,1996,The New York Times,THEATER REVIEW;Delving Into the Dementia of Richard III,THEATER REVIEW;Delving Into the Dementia of Richard III,,"EVEN with all those radical interpretive variations of ""Richard III"" for modern times, one of Shakespeare's most overexposed villains has suffered no categorical alteration. The ""poisonous bunch-back'd toad"" -- in the guise of Denzel Washington or Ian McKellen, Al Pacino or Richard Thomas -- has remained the instigator of a tragical or historical play. Or, to follow Polonius-like couplings, tragical-historical or historical-tragical.","[{'name': 'organizations', 'value': 'New Jersey Shakespeare Festival', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Shakespeare, William', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Richard III (Play)', 'rank': 5, 'major': 'N'}]"
3,dementia,1996,The New York Times,New Nursing Home Rising in Westchester,New Nursing Home Rising in Westchester,"New Hebrew Hospital Home of Westchester, now under construction in Greenburgh, will offer residents maximum freedom of movement within sheltered grounds; drawing (S)s",Residents with Alzheimer's dementia will have the freedom of walking safely around their own landscaped garden when the new two-story Hebrew Hospital Home of Westchester is completed on a 30-acre site along Grasslands Road in the Town of Greenburgh by the summer of 1998.,"[{'name': 'glocations', 'value': 'Westchester County (NY)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Hebrew Hospital Home of Westchester', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}]"
0,dementia,1997,The New York Times,Nordic Study Links Dementia To Drivers in Fatal Crashes,Nordic Study Links Dementia To Drivers in Fatal Crashes,"Study of brains of elderly drivers killed in automobile accidents in Sweden and Finland has found that unusually high percentage, as many as half, showed signs of early Alzheimer's disease; scientists say condition had not been diagnosed before th...","A study of the brains of elderly drivers killed in automobile accidents in Sweden and Finland has found that an unusually high percentage, as many as half, showed signs of early Alzheimer's disease, researchers said today. But the condition had not been diagnosed before their deaths, which led the scientists to suggest that even in its preliminary stages, Alzheimer's can cause enough mental impairment to make driving dangerous.","[{'name': 'glocations', 'value': 'Sweden', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Finland', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}]"
2,dementia,1997,The New York Times,Federal Doctors' Report Appears to Say Gigante May Be Mentally Ill,Federal Doctors' Report Appears to Say Gigante May Be Mentally Ill,"Federal mental health specialists issue report that finds Vincent Gigante, recently convicted of crimes as Mafia boss, to be possibly suffering from dementia, but also to have shown them signs of faking symptoms of mental illness (M)","In a report that his lawyer said seemed schizophrenic, Vincent Gigante, recently convicted of crimes as a Mafia boss, was said by Government mental-health experts to be possibly suffering from dementia, but also to have shown them signs of faking symptoms of mental illness.","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Gigante, Vincent', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Crime', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Racketeering and Racketeers', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 6, 'major': 'N'}]"
4,dementia,1997,The New York Times,"Trying Again, Gigante Team Offers Case for Incompetency","Trying Again, Gigante Team Offers Case for Incompetency",Lawyers for Vincent Gigante begin last-ditch attempt to convince Federal District Judge Jack B Weinstein that suspected mob boss is mentally unfit to stand trial; assert that new tests show that Gigante is suffering from dementia; Dr Monte S Buchs...,A Mafia murder case became a medical school seminar yesterday as lawyers for Vincent Gigante began a last-ditch attempt to convince a judge that the suspected mob boss is mentally unfit to stand trial.,"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Buchsbaum, Monte S', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Gigante, Vincent', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'van Gorp, Wilfred G', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Weinstein, Jack B', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Crime', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 9, 'major': 'N'}]"
