,query,pub_date,source,headline1,headline2,snippet,lead_paragraph,keywords
14,dementia,2005,The New York Times,"Paid Notice: Deaths   WANTZ, DIANA DILWORTH","Paid Notice: Deaths   WANTZ, DIANA DILWORTH","WANTZ--Diana Dilworth. On August 27, 2005. Beloved wife of the late George E. Wantz, M.D. Mother of David Hoguet of Cincinnati, OH and Diana Hoguet of Boulder, CO. Grandmother of Jennifer and Laura. Sister of the late J. Richardson Dilworth. Memor...","WANTZ--Diana Dilworth. On August 27, 2005. Beloved wife of the late George E. Wantz, M.D. Mother of David Hoguet of Cincinnati, OH and Diana Hoguet of Boulder, CO. Grandmother of Jennifer and Laura. Sister of the late J. Richardson Dilworth. Memorial service Saturday, September 10 at St. James Church, 71st and Madison Ave. Donations may be made to Association of Frontotemporal Dementia, 100 North St, Ste 600, Phila., PA 19103 (www.ftd-picks.org for donation form).","[{'name': 'persons', 'value': 'WANTZ, DIANA DILWORTH', 'rank': 1, 'major': 'N'}]"
22,dementia,2012,The New York Times,Studies Tie Abnormal Protein Buildup to Dementia,Studies Tie Abnormal Protein Buildup to Dementia,Scientists think that abnormal protein deposits inside brain cells cause frontotemporal degeneration.,"“If there’s something to be done, I want to be in on the ground floor,” said Elizabeth, 67, a woman participating in studies of frontotemporal degeneration at the University of California, San Francisco.","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Proteins', 'rank': 5, 'major': 'N'}]"
32,dementia,2012,The New York Times,The Challenges of a Dementia Patient,The Challenges of a Dementia Patient,Readers offer suggestions and personal stories about caring for someone with dementia., To the Editor:,"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 4, 'major': 'N'}]"
33,dementia,2012,The New York Times,When Illness Makes a Spouse a Stranger,When Illness Makes a Spouse a Stranger,"Like many others, Ruth French finds herself grappling with her spouse’s frontotemporal dementia, a group of brain diseases that eat away at personality and language.","He threw away tax documents, got a ticket for trying to pass an ambulance and bought stock in companies that were obviously in trouble. Once a good cook, he burned every pot in the house. He became withdrawn and silent, and no longer spoke to his wife over dinner. That same failure to communicate got him fired from his job at a consulting firm. ","[{'name': 'subject', 'value': 'Series', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 7, 'major': 'N'}]"
45,dementia,2012,The New York Times,In Love and Loss,,"Michael French has frontotemporal dementia, for which there is no treatment. As his condition deteriorated, his wife, Ruth, had to move him to a nursing home, where she spends most days.","Michael French has frontotemporal dementia, for which there is no treatment. As his condition deteriorated, his wife, Ruth, had to move him to a nursing home, where she spends most days.","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}]"
1,dementia,2013,The New York Times,"Michael French, Who Battled a Rare Dementia, Dies at 73",One Mind’s Long Decay Finally Ends,"Michael French, who struggled with the brain disease frontotemporal dementia, diagnosed in 2007, died at a Manhattan nursing home.","Michael French, whose long struggle with the brain disease frontotemporal dementia was the subject of a 2012 New York Times article and video, died Nov. 30 at a nursing home in Manhattan. He was 73. ","[{'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Grady, Denise', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'French, Michael', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}]"
30,dementia,2014,The New York Times,When They Don’t Know They Are Ill,,"Frequently a result of dementia, anosognosia is the inability to recognize one’s own impairment — a phenomenon caregivers know too well.","Soon after his wife was diagnosed with frontotemporal dementia, Bill Floyd consulted a neurologist who had been a member of his church. People with this illness don’t know they have it, the doctor warned. They don’t understand that anything is wrong.","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 5, 'major': 'N'}]"
10,dementia,2015,The New York Times,"Your Brain, Your Disease, Your Self","Your Brain, Your Disease, Your Self",What kind of neural damage threatens your identity — and why?,"WHEN does the deterioration of your brain rob you of your identity, and when does it not?","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Ethics (Personal)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Amyotrophic Lateral Sclerosis', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Psychological Science (Journal)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 9, 'major': 'N'}]"
18,dementia,2015,The New York Times,"Review: ‘Looks Like Laury, Sounds Like Laury,’ a Documentary of Dementia",A Devastating Vanishing Act in Dementia’s Grip,"The film, on the World Channel’s “America ReFramed” series, is an unflinching case study of a woman in her 40s who has a neurological condition called frontotemporal dementia.","“You try to think about a lot of things before you make a commitment,” Eric Sacks says during a documentary about his wife, “but you don’t think about something like this.” ","[{'name': 'subject', 'value': 'Television', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Looks Like Laury, Sounds Like Laury (TV Program)', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'America ReFramed (TV Program)', 'rank': 6, 'major': 'N'}]"
11,dementia,2016,The New York Times,"Terry Jones of Monty Python Has Dementia, His Family Says",Monty Python Member Said to Have Dementia,"The actor, 74, is best known for his roles in the British comedy troupe and as a director or writer of works like “Life of Brian” and “Monty Python and the Holy Grail.”","Terry Jones, an original member of Monty Python, has a form of dementia that is affecting his ability to communicate, his family said in a statement.","[{'name': 'persons', 'value': 'Jones, Terry', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Monty Python', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'British Academy of Film and Television', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Frontotemporal Dementia', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Awards, Decorations and Honors', 'rank': 6, 'major': 'N'}]"
