,query,pub_date,source,headline1,headline2,snippet,lead_paragraph,keywords
117,dementia,2009,The New York Times,Is a Mediterranean Diet Good for the Brain?,Mediterranean Diet May Prevent Mental Decline,A Mediterranean-style diet appears to be good for the brain as well as the heart.,"Eating a Mediterranean diet appears to lower risk for mental decline, and may help prevent Alzheimer's in people with existing memory problems, new research suggests.  The finding, published today in The Archives of Neurology, tracked the eating habits of 1,393 people with no cognitive problems and 482 patients with mild cognitive impairment, a preliminary state of mental decline that can sometimes signal the onset of Alzheimer's disease or other forms of dementia. The patients were then grouped based on whether they were low, moderate or consistent followers of a Mediterranean diet. People were considered to be strong adherents to a Mediterranean-style diet if they regularly ate large amounts of fish, fruits, vegetables, legumes and monounsaturated fats like olive oil, while at the same time consuming moderate amounts of alcohol and only small quantities of meat and dairy products.  After nearly five years of follow up, about 275 people in the healthy group developed mild cognitive impairment. People who closely adhered to a Mediterranean diet had a 28 percent lower risk of developing mild cognitive impairment, compared to those whose eating habits were the least like a Mediterranean diet. Moderate followers of a Mediterranean diet showed a trend toward a 17 percent lower risk than the lowest-scoring group, although that finding wasn't statistically significant.  A Mediterranean diet also appeared to slow decline in those already diagnosed with mild cognitive impairment. Among the 482 men and women with mild cognitive impairment at the beginning of the study, 106 developed Alzheimer's disease about four years later. But among those who strictly adhered to the Mediterranean diet, risk of Alzheimer's was 48 percent lower, while risk was 45 percent lower among those who ate a moderate version of the diet.  It's not clear from the study how long the participants had been following a Mediterranean eating plan. However, the researchers said that older people tend to be fairly set in their ways and stick to eating patterns that have been established years earlier, so it's likely the habits were established at least in middle age. The average age of study participants was 77.  Because the study was observational and not a controlled clinical trial, the association of better brain aging with the consumption of a Mediterranean diet isn't definitive and could be explained by other factors. However, researchers note that a Mediterranean diet has already been shown to be good for the heart, and there is no risk in improving eating habits in the hope of improving brain health as well.  ""We know it's a healthy diet for other reasons,'' said lead author Dr. Nikolaos Scarmeas, assistant professor of neurology at Columbia University Medical Center. ""It makes sense for people to eat in a healthy way as soon as they can and for the longest they possibly can.'' ",[]
11,dementia,2010,The New York Times,"Aging: Men Face More Forgetting, and Earlier","AGING: Men Face More Forgetting, and Earlier","Men develop mild cognitive impairment, often a precursor to Alzheimer’s disease, earlier and at higher rates than women, according to a new study.","Men develop mild cognitive impairment, often a precursor to Alzheimer’s disease, earlier and at higher rates than women, according to a new study of almost 2,000 people in their 70s and 80s. ","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Men and Boys', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]"
4,dementia,2011,The New York Times,It’s Mild Cognitive Impairment. Now What?,,Researchers initiate an effort to understand how patients cope after learning they have cognitive problems.,"How would you react to a diagnosis of mild cognitive impairment — memory problems that allow you to continue normal daily activities, but presage an increased likelihood of developing Alzheimer’s disease within a few years?","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}]"
59,dementia,2012,The New York Times,Nicotine Patch Helps Against Cognitive Impairment in Study,Aging: Nicotine Patch Helps Against Cognitive Impairment in Study,"Mild cognitive impairment, or M.C.I., involves a decline in mental acuity noticeable by oneself and others but not severe enough to be diagnosed as dementia.","A nicotine patch worn for six months can improve attention, memory and mental processing in people with mild cognitive impairment, a clinical trial has found.","[{'name': 'subject', 'value': 'Nicotine', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Neurology (Journal)', 'rank': 4, 'major': 'N'}]"
93,dementia,2012,The New York Times,Signing Up to Help Fight Alzheimer’s,,"A registry of people willing to participate in Alzheimer’s studies was formed. Its goal: to provide information, raise public awareness, debunk nonsense and help accelerate the pace of research.","I just signed up online for the new Alzheimer’s Prevention Registry. It took about three minutes: I entered my name, birth date, gender, ethnicity, e-mail address and answered a few questions about whether I had received a diagnosis of mild cognitive impairment or dementia or had a family history. (I will resist the urge to crack nervous jokes about car keys or whether I will remember the username and password I just created.)","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Clinical Trials', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}]"
32,dementia,2013,The New York Times,Empathy Without Boundaries,,People with Alzheimer’s disease or mild cognitive impairment may be more susceptible to emotional cues from those around them.,"Jean McFee Raichle, 94, is a remarkably cheerful woman. She lives in an assisted living center in Seattle staffed by aides who are warm and nurturing. She exists in the moment, mostly untroubled by her Alzheimer’s disease.","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Emotions', 'rank': 4, 'major': 'N'}]"
17,dementia,2019,The New York Times,That New Alzheimer’s Drug? Don’t Get Your Hopes Up Yet,,"After declaring aducanumab a failure, the manufacturer now says the drug may help slow cognitive decline in certain patients. Some experts are skeptical.","Biogen, the drug company, said on Tuesday that it would ask the Food and Drug Administration to approve an experimental drug, aducanumab, to treat people with mild cognitive impairment and the earliest signs of Alzheimer’s disease.","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Biogen Idec Inc', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Food and Drug Administration', 'rank': 5, 'major': 'N'}]"
9,Alzheimer,2002,The New York Times,"An Early Sign of Alzheimer's Brings Fear, and New Insight","An Early Sign of Alzheimer's Brings Fear, and New Insight","Growing number of doctors are making diagnosis of mild cognitive impairment, usually first sign of Alzheimer's disease; term entered vocabulary of memory specialists in last 1990's, as they combined tools as sophisticated as brain imaging and as s...","Until recently, a patient like Carolyn E. Hoard would never have been told she was progressing toward Alzheimer's disease. A 61-year-old mental health counselor in Kittanning, Pa., she reported nothing more than a mild loss of memory, particularly when it came to recalling what someone had said in conversation a few minutes ago. Her first neurologist told her she was fine.","[{'name': 'subject', 'value': 'Hormones', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vitamins', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 4, 'major': 'N'}]"
12,Alzheimer,2005,The New York Times,JOHNSON & JOHNSON ISSUES ALZHEIMER'S DRUG WARNING,COMPANY NEWS; JOHNSON & JOHNSON ISSUES ALZHEIMER'S DRUG WARNING,Johnson & Johnson warns doctors about deaths of 13 people who took its Alzheimer's drug Reminyl; deaths occurred during clinical studies (S),"Johnson & Johnson said yesterday that it was warning doctors about the deaths of 13 people who took its Alzheimer's drug Reminyl. The deaths occurred during clinical studies to test the drug's effectiveness in treating mild cognitive impairment, a form of memory loss. The drug has been used to treat two million people for Alzheimer's since it was approved in 2001. The company said it had mailed letters to thousands of doctors after negotiations with the Food and Drug Administration. Johnson & Johnson has also amended its packaging insert to disclose the deaths. During the two-year studies, 13 participants taking Reminyl died while one patient who received a placebo died. The clinical trials involved about 2,000 patients in 16 countries. Stephanie Saul (NYT)","[{'name': 'organizations', 'value': 'Johnson & Johnson Inc', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'REMINYL (DRUG)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 7, 'major': 'N'}]"
19,Alzheimer,2006,The New York Times,Diagnosis: Paying Heed to a Sense of Memory Loss,VITAL SIGNS: DIAGNOSIS; Paying Heed to a Sense of Memory Loss,"Dr Andrew J Saykin of Dartmouth leads research on memory impairment; findings, which are published in journal Neurology, suggest that even minor self-reported loss of memory should be heeded by doctor; says that as new treatments for Alzheimer's a...","Patients sometimes complain to their doctors about memory problems, but show no signs on skills tests of the condition known as mild cognitive impairment or the disease it often leads to, Alzheimer's.","[{'name': 'organizations', 'value': 'Dartmouth College', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'NEUROLOGY', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'SAYKIN, ANDREW J', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 9, 'major': 'N'}]"
