abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta,subsection_name
"Sarah Lyall interview with John Bayley, critic, retired Oxford professor and novelist, on poignant life he shares with his wife, Iris Murdoch, once-brilliant writer now sadly in grip of advanced Alzheimer's disease; Bayley, 73, has written memoir, Elegy for Iris, that is both lyric description of their singular 40-year marriage and unflinching account of her descent into incomprehension; photos (M)",https://www.nytimes.com/1998/12/30/books/arts-abroad-devotion-refuses-yield-alzheimer-s-disease-cannot-divide-literary.html,"Sarah Lyall interview with John Bayley, critic, retired Oxford professor and novelist, on poignant life he shares with his wife, Iris Murdoch, once-brilliant writer now sadly in grip of advanced Alzheimer's disease; Bayley, 73, has written memoir,...","Iris Murdoch, the celebrated author of 26 rigorously intellectual novels, stood uncertainly in the doorway of her living room, her face frozen in the blank expression that is a sure badge of Alzheimer's disease. It was only when she saw her husband, the critic, professor and novelist John Bayley, that a flicker of comprehension sparked in her eyes. But it was gone, as quickly as it came.",E,1,The New York Times,[],"[{'name': 'persons', 'value': 'Murdoch, Iris', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'BAYLEY, JOHN', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'ELEGY FOR IRIS (BOOK)', 'rank': 6, 'major': 'N'}]",1998-12-30T05:00:00+0000,article,The Arts/Cultural Desk,Books,News,nyt://article/de2d069b-2c41-5200-b87f-939fdeab5ce9,1655,nyt://article/de2d069b-2c41-5200-b87f-939fdeab5ce9,ARTS ABROAD: Devotion Refuses to Yield; Alzheimer's Disease Cannot Divide a Literary Couple,,,ARTS ABROAD: Devotion Refuses to Yield; Alzheimer's Disease Cannot Divide a Literary Couple,,,,By Sarah Lyall,"[{'firstname': 'Sarah', 'middlename': None, 'lastname': 'Lyall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Marion Roach article on her participation in New York University study of brains of children of Alzheimer's victims, in hopes of discovering changes that lead some people to develop disease; Dr Mony de Leon explains research showing how hippocampus shrinks as disease progresses; photos showing size of hippocampus in young adult, in Roach at age 42, in television journalist Hugh Downs at 76 and in Alzheimer's patient; Downs is example of normal older subject, who has normal memory even though hippocampus shows age-related size reduction; de Leon notes lack of knowledge about pre-Alzheimer's (M)",https://www.nytimes.com/1998/12/01/health/cases-in-an-nyu-lab-premonitions-of-alzheimer-s.html,"Marion Roach article on her participation in New York University study of brains of children of Alzheimer's victims, in hopes of discovering changes that lead some people to develop disease; Dr Mony de Leon explains research showing how hippocampu...","Twenty years ago, my mother's mind went to battle with Alzheimer's disease and lost. Last month scientists at New York University Medical Center, in a hunt for clues to the blight of her brain, spent three days looking at mine.",F,1,The New York Times,[],"[{'name': 'organizations', 'value': 'New York University', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'de Leon, Mony', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Downs, Hugh', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Age, Chronological', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'HIPPOCAMPUS', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 8, 'major': 'N'}]",1998-12-01T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/39d6c5fb-32dc-5b5e-9a88-987ea11f21ba,1707,nyt://article/39d6c5fb-32dc-5b5e-9a88-987ea11f21ba,"In an N.Y.U. Lab, Premonitions of Alzheimer's",CASES,,"CASES; In an N.Y.U. Lab, Premonitions of Alzheimer's",,,,By Marion Roach,"[{'firstname': 'Marion', 'middlename': None, 'lastname': 'Roach', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Patti Davis article on giving Christmas gifts to her father, Ronald Reagan, along with her brother Michael; says the meaning of Christmas gifts becomes clearer through the realization that her father's mind loses more ground each day to Alzheimer's disease (M)",https://www.nytimes.com/1998/12/27/magazine/lives-a-gift-to-my-father.html,"Patti Davis article on giving Christmas gifts to her father, Ronald Reagan, along with her brother Michael; says the meaning of Christmas gifts becomes clearer through the realization that her father's mind loses more ground each day to Alzheimer'...","Christmas is supposed to be about giving -- not so much the material kind, but giving of the self, the soul, the heart. Giving at any time is supposed to be about that, but it's easy to forget, particularly at Christmas. The concept gets buried beneath Neiman Marcus catalogues, lists, bills. My grandmother understood the essence of giving and never forgot it. In the 40's and 50's, Nelle Reagan regularly visited tuberculosis patients at Olive View Medical Center in Sylmar, Calif. She had little money, but believed that giving to others is a vital part of life. She always brought the patients something, even if it was just a card or a pencil.",6,58,The New York Times,[],"[{'name': 'persons', 'value': 'Reagan, Ronald Wilson', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Davis, Patti', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'REAGAN, MICHAEL', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Gifts', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Christmas', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}]",1998-12-27T05:00:00+0000,article,Magazine Desk,Magazine,News,nyt://article/47c306fd-b976-5d17-b726-4c12913bd876,980,nyt://article/47c306fd-b976-5d17-b726-4c12913bd876,LIVES; A Gift to My Father,,,LIVES; A Gift to My Father,,,,By Patti Davis,"[{'firstname': 'Patti', 'middlename': None, 'lastname': 'Davis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Scientists urge caution on using nicotine replacement products to help smokers quit and on using nicotine to treat a variety of disorders in which it shows promise, including stress, ulcerative colitis, Alzheimer's disease, Parkinson's disease, attention deficit disorder and Tourette's syndrome; agree that replacement nicotine in the form of chewing gum and a skin patch is safer than smoking, but fear these products will be used by smokers far longer than the short period for which they were designed; say value of nicotine in treating other ailments must be weighed against possible side effects, including damage to cells that line blood vessels and airways in the lungs; photo; drawing (M)",https://www.nytimes.com/1998/11/17/health/nicotine-s-image-takes-a-turn-for-the-worse.html,"Scientists urge caution on using nicotine replacement products to help smokers quit and on using nicotine to treat a variety of disorders in which it shows promise, including stress, ulcerative colitis, Alzheimer's disease, Parkinson's disease, at...","If a biographer wanted to write about a spectacular comeback from notoriety to respectability, and the tenuous natures of comebacks, a good subject might be nicotine.",F,1,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Stress (Human)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Nicotine', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Lungs', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Colitis', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': ""Parkinson's Disease"", 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Smoking and Tobacco', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'TOURETTE SYNDROME', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Attention Deficit Hyperactivity Disorder', 'rank': 10, 'major': 'N'}]",1998-11-17T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/15a7ee9f-371c-5e83-944f-fae9590a0e5e,1886,nyt://article/15a7ee9f-371c-5e83-944f-fae9590a0e5e,Nicotine's Image Takes A Turn for the Worse,,,Nicotine's Image Takes A Turn for the Worse,,,,By Denise Grady,"[{'firstname': 'Denise', 'middlename': None, 'lastname': 'Grady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
Article on impact of closing of adult day-care center by New York City Health and Hospitals Corp; many of those served have Alzheimer's disease; photo (M),https://www.nytimes.com/1998/11/08/nyregion/neighborhood-report-neponsit-plaints-for-a-day-care-center.html,Article on impact of closing of adult day-care center by New York City Health and Hospitals Corp; many of those served have Alzheimer's disease; photo (M),"Politicians and advocates for the elderly have lately focused their attention on the Health and Hospitals Corporation's decision to evacuate the 282 patients from the Neponsit Health Care Center and then permanently close the seaside nursing home. Meanwhile, the agency has also closed an adult day-care center in a nearby building, leaving 100 clients and their spouses in the lurch.",14,10,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Health and Hospitals Corp', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Shutdowns (Institutional)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Day Care Centers', 'rank': 6, 'major': 'N'}]",1998-11-08T05:00:00+0000,article,The City Weekly Desk,New York,News,nyt://article/887b521b-f8b5-589a-851a-a96ac1bd808e,390,nyt://article/887b521b-f8b5-589a-851a-a96ac1bd808e,Plaints for a Day-Care Center,NEIGHBORHOOD REPORT: NEPONSIT,,NEIGHBORHOOD REPORT: NEPONSIT; Plaints for a Day-Care Center,,,,By Richard Weir,"[{'firstname': 'Richard', 'middlename': None, 'lastname': 'Weir', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Team of American and Swedish scientists, through rare glimpse inside human brain, reports that they have discovered generation of brain cells in adult humans for first time, opening an important area of investigation into possible new treatments for such debilitating neurological disorders as Alzheimer's disease, Parkinson's disease and stroke; finding is one of series of recent discoveries that have overturned years of conventional wisdom about human brain: that, after birth, once brain cells died off, they could never be replaced; in one such finding last spring, scientists reported substantial new cell growth in brains of developing children under age 6; now, with discovery in adults that cells are continually dividing and producing mature new cells, potential arises that their regeneration may be used to mend a brain damaged by disease, or treat a disease caused by a damaged brain; photo of Dr Fred Gage, leader of Swedish-American team (L)",https://www.nytimes.com/1998/10/30/us/adult-brain-cells-said-to-reproduce.html,"Team of American and Swedish scientists, through rare glimpse inside human brain, reports that they have discovered generation of brain cells in adult humans for first time, opening an important area of investigation into possible new treatments f...","Through a rare glimpse inside the human brain, a team of American and Swedish scientists reported yesterday that they had discovered the generation of brain cells in adult humans for the first time, opening an important area of investigation into possible new treatments for such debilitating neurological disorders as Alzheimer's disease, Parkinson's disease and stroke.",A,1,The New York Times,[],"[{'name': 'glocations', 'value': 'Sweden', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Gage, Fred', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Stroke', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': ""Parkinson's Disease"", 'rank': 8, 'major': 'N'}]",1998-10-30T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/b0165967-af28-5921-b5a1-fab9054f0726,1179,nyt://article/b0165967-af28-5921-b5a1-fab9054f0726,ADULT BRAIN CELLS SAID TO REPRODUCE,,,ADULT BRAIN CELLS SAID TO REPRODUCE,,,,By Holcomb B. Noble,"[{'firstname': 'Holcomb', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Article discusses how celebrities going public in their fights against various diseases has resulted in more general public awareness of disease and resulting early detection that can save lives; Darryl Strawberry (colon cancer), Ronald Reagan (Alzheimer's Disease), Elizabeth Tilberis (ovarian cancer), Magic Johnson (AIDS) and Betty Ford (Breast Cancer) are cited as examples of celebrities being instrumental in raising awareness of what have been taboo",https://www.nytimes.com/1998/10/08/nyregion/fame-forcing-cancer-go-public-strawberry-other-celebrities-break-taboos-saving.html,"Article discusses how celebrities going public in their fights against various diseases has resulted in more general public awareness of disease and resulting early detection that can save lives; Darryl Strawberry (colon cancer), Ronald Reagan (Al...","Last Friday, after Darryl Strawberry's doctors confirmed that the pains in his stomach were a result of a cancerous tumor in his colon, the phones starting ringing at Dr. Alice Furman's office.",B,1,The New York Times,[],"[{'name': 'persons', 'value': 'Ford, Betty', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Strawberry, Darryl', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Reagan, Ronald', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Johnson, Earvin', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Tilberis, Liz', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Colon', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Acquired Immune Deficiency Syndrome', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'BREAST', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Ovaries', 'rank': 12, 'major': 'N'}]",1998-10-08T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/b3af88ac-de1c-5271-a8c8-317908acc302,1542,nyt://article/b3af88ac-de1c-5271-a8c8-317908acc302,"Fame Forcing Cancer to Go Public; Strawberry and Other Celebrities Break Taboos, Saving Lives",,,"Fame Forcing Cancer to Go Public; Strawberry and Other Celebrities Break Taboos, Saving Lives",,,,By Jennifer Steinhauer,"[{'firstname': 'Jennifer', 'middlename': None, 'lastname': 'Steinhauer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"New York Yankees' second baseman Chuck Knoblauch expects his father, Ray, to attend Game 3 of American League division series against Texas Rangers even though his father has Alzheimer's disease; younger Knoblauch believes his father is aware of the significance of the game (S)",https://www.nytimes.com/1998/10/03/sports/baseball-division-series-father-watches-son-from-afar.html,"New York Yankees' second baseman Chuck Knoblauch expects his father, Ray, to attend Game 3 of American League division series against Texas Rangers even though his father has Alzheimer's disease; younger Knoblauch believes his father is aware of t...","Chuck Knoblauch, the Yankees' second baseman, expected that his father, Ray Knoblauch, would attend tonight's playoff game. Ray Knoblauch, a well-known high school baseball coach in the Houston area, was stricken by Alzheimer's last year, but he came here to watch the Yankees' series against the Rangers in August.",D,3,The New York Times,[],"[{'name': 'organizations', 'value': 'New York Yankees', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AMERICAN LEAGUE', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Texas Rangers', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Knoblauch, Chuck', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Knoblauch, Ray', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Baseball', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Playoff Games', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 9, 'major': 'N'}]",1998-10-03T05:00:00+0000,article,Sports Desk,Sports,News,nyt://article/a87254a1-dcff-56e8-8140-a88700585592,140,nyt://article/a87254a1-dcff-56e8-8140-a88700585592,Father Watches Son From Afar,BASEBALL: DIVISION SERIES,,BASEBALL: DIVISION SERIES; Father Watches Son From Afar,,,,,[],,Alzheimer,
"Hebrew Home for Aged in Riverdale section of Bronx offers unusual program that keeps Alzheimer's patients occupied at night while relatives who care for them get rest; because Alzheimer's is degenerative brain disease that leads to dementia, many patients confuse day and night, and experts say sleep deprivation among those who care for ill is one of leading reasons that patients are institutionalized; photo (M)",https://www.nytimes.com/1998/07/27/nyregion/good-nights-for-alzheimer-s-patients-and-helpers.html,"Hebrew Home for Aged in Riverdale section of Bronx offers unusual program that keeps Alzheimer's patients occupied at night while relatives who care for them get rest; because Alzheimer's is degenerative brain disease that leads to dementia, many ...","Lucille first noticed that her husband, Sonny, was slipping when he wrote checks. He would fill in the amount on the line for the date, and vice versa. But he did not want her to see him do it. And he denied that anything was wrong.",B,4,The New York Times,[],"[{'name': 'organizations', 'value': 'Hebrew Home for the Aged', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sleep', 'rank': 3, 'major': 'N'}]",1998-07-27T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/bff1c885-3516-5ddc-b723-0f80b5d3a7aa,1025,nyt://article/bff1c885-3516-5ddc-b723-0f80b5d3a7aa,Good Nights for Alzheimer's Patients and Helpers,,,Good Nights for Alzheimer's Patients and Helpers,,,,By Tom Brady,"[{'firstname': 'Tom', 'middlename': None, 'lastname': 'Brady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
"Profile of Janet Walsh, founder of Long Island Alzheimer's Foundation, whose father and other relatives had disease; genetic testing shows Walsh has high chance of getting Alzheimer's; photo (M)",https://www.nytimes.com/1998/05/03/nyregion/alzheimer-s-gene-test-facing-the-answers.html,"Profile of Janet Walsh, founder of Long Island Alzheimer's Foundation, whose father and other relatives had disease; genetic testing shows Walsh has high chance of getting Alzheimer's; photo (M)","WHEN Janet Walsh was 14 her father began showing signs of dementia. Four years later, at 62, he was given a diagnosis of Alzheimer's disease, considered a ''rare'' brain disorder in 1975.",LI,14,The New York Times,[],"[{'name': 'persons', 'value': 'Walsh, Janet', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 4, 'major': 'N'}]",1998-05-03T05:00:00+0000,article,Long Island Weekly Desk,New York,News,nyt://article/cc67f04a-6459-5f67-867d-30612588fc0d,696,nyt://article/cc67f04a-6459-5f67-867d-30612588fc0d,Alzheimer's Gene Test: Facing the Answers,,,Alzheimer's Gene Test: Facing the Answers,,,,By Linda Saslow,"[{'firstname': 'Linda', 'middlename': None, 'lastname': 'Saslow', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Alzheimer,
