abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name,query_consulta
Dr Lawrence S Honig of Columbia University College of Physicians and Surgeons leads research published in journal Archives of Neurology that shows people who have strokes are at greater risk of developing Alzheimer's disease (S),https://www.nytimes.com/2003/12/16/health/vital-signs-patterns-stroke-is-linked-to-alzheimer-s.html,Dr Lawrence S Honig of Columbia University College of Physicians and Surgeons leads research published in journal Archives of Neurology that shows people who have strokes are at greater risk of developing Alzheimer's disease (S),A new study finds that having a stroke puts people at higher risk for developing Alzheimer's disease.,F,6,The New York Times,[],"[{'name': 'organizations', 'value': 'ARCHIVES OF NEUROLOGY', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Columbia University', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'HONIG, LAWRENCE S', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Stroke', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 6, 'major': 'N'}]",2003-12-16T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/a3b45898-6d3b-5db5-85ab-a30bffc06566,232,nyt://article/a3b45898-6d3b-5db5-85ab-a30bffc06566,Stroke Is Linked to Alzheimer's,VITAL SIGNS: PATTERNS,,VITAL SIGNS: PATTERNS; Stroke Is Linked to Alzheimer's,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Snoezelen rooms, first developed in Netherlands in 1970's for use with disabled and elderly, are being re-examined, in part as possible therapy for senior facilities anticipating rise in Alzheimer's cases over next few years; use color, light and sound to achieve patient relaxation, peace and clarity; first-hand observations of Snoezelen rooms given; Dr Barbara Haight, who recently authored review of Snoezelen in Journal of Gerontological Nursing, urges more substantial studies to be completed in order to convince insurance companies to pay for therapy; photo (M)",https://www.nytimes.com/2003/12/23/health/a-room-comes-alive-with-color-and-sounds.html,"Snoezelen rooms, first developed in Netherlands in 1970's for use with disabled and elderly, are being re-examined, in part as possible therapy for senior facilities anticipating rise in Alzheimer's cases over next few years; use color, light and ...","In the dim room at Noble Horizons, a long-term-care center in Salisbury, Conn., glow-in-the-dark stars shone faintly. Colored bubbles rose in a tall lighted column before a mirror. Fiber-optic strands winked orange, yellow and ice white. In recliners, three elderly people sat comfortably, holding teddy bears. Music played softly as scenes of an autumn woods -- a country fence, a deer -- were projected on a wall.",F,7,The New York Times,[],"[{'name': 'glocations', 'value': 'Netherlands', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'JOURNAL OF GERONTOLOGICAL NURSING', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'HAIGHT, BARBARA', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Light', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Sound', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'SNOEZELEN (THERAPY)', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Color', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'Handicapped', 'rank': 14, 'major': 'N'}]",2003-12-23T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/d486f837-3114-5da2-b223-eaedf112e773,935,nyt://article/d486f837-3114-5da2-b223-eaedf112e773,A Room Comes Alive With Color and Sounds,,,A Room Comes Alive With Color and Sounds,,,,By Gwen Kinkead,"[{'firstname': 'Gwen', 'middlename': None, 'lastname': 'Kinkead', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Dr Henry Rusinek, New York University researcher, leads study published in journal Radiology that shows link between decline in size of medial temporal lobe and risk of Alzheimer's; suggests mental exercise could slow progression of disease (S)",https://www.nytimes.com/2003/11/25/health/vital-signs-aging-alzheimer-s-risk-identified.html,"Dr Henry Rusinek, New York University researcher, leads study published in journal Radiology that shows link between decline in size of medial temporal lobe and risk of Alzheimer's; suggests mental exercise could slow progression of disease (S)","Changes in the size of a small part of the brain can be used to predict mental decline in older people, a study being released today suggests.",F,6,The New York Times,[],"[{'name': 'organizations', 'value': 'RADIOLOGY', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'New York University', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'RUSINEK, HENRY', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 7, 'major': 'N'}]",2003-11-25T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/1f06c70b-47ee-5543-906a-b63739bf7fe4,270,nyt://article/1f06c70b-47ee-5543-906a-b63739bf7fe4,Alzheimer's Risk Identified,VITAL SIGNS: AGING,,VITAL SIGNS: AGING; Alzheimer's Risk Identified,,,,By John O'Neil,"[{'firstname': 'John', 'middlename': None, 'lastname': ""O'Neil"", 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Profile of and interview with Dr Roger Knowles, 34, neurobiologist who is researching Alzheimer's disease and is head of neuroscience program at Drew University in New Jersey; photos (M)",https://www.nytimes.com/2003/12/14/nyregion/in-person-science-called-and-he-followed.html,"Profile of and interview with Dr Roger Knowles, 34, neurobiologist who is researching Alzheimer's disease and is head of neuroscience program at Drew University in New Jersey; photos (M)","THE art on the office wall of Dr. Roger Knowles features an indistinct shape that could be a cloud, a partial shoeprint or the stain from a pot of green paint tipped on its side.",NJ,14,The New York Times,[],"[{'name': 'organizations', 'value': 'Drew University', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'KNOWLES, ROGER', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}]",2003-12-14T05:00:00+0000,article,New Jersey Weekly Desk,New York,News,nyt://article/a500e4d6-138e-53d2-85b1-349f8d576224,1399,nyt://article/a500e4d6-138e-53d2-85b1-349f8d576224,"Science Called, And He Followed",IN PERSON,,"IN PERSON; Science Called, And He Followed",,,,By Jeremy Pearce,"[{'firstname': 'Jeremy', 'middlename': None, 'lastname': 'Pearce', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Dr Robert S Wilson, Chicago's Rush Alzheimer's Disease Center researcher, leads study on effects of mental distress or neuroticism on development of Alzheimers; study looked at 800 members of Religious Orders Study and found those men and women who scored highest on neuroticism test were twice as likely over next five years to develop Alzheimer's; drawing (S)",https://www.nytimes.com/2003/12/09/health/vital-signs-patterns-in-aging-distress-takes-its-toll.html,"Dr Robert S Wilson, Chicago's Rush Alzheimer's Disease Center researcher, leads study on effects of mental distress or neuroticism on development of Alzheimers; study looked at 800 members of Religious Orders Study and found those men and women wh...","People who get more upset by disturbing events are more likely to suffer the declines in memory and mental ability found in Alzheimer's disease, according to a study published today.",F,6,The New York Times,[],"[{'name': 'organizations', 'value': ""RUSH ALZHEIMER'S DISEASE CENTER"", 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'RELIGIOUS ORDERS STUDY', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Wilson, Robert S', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 7, 'major': 'N'}]",2003-12-09T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/5a111e59-4796-5dcb-ac5d-6273adfcd531,253,nyt://article/5a111e59-4796-5dcb-ac5d-6273adfcd531,"In Aging, Distress Takes Its Toll",VITAL SIGNS: PATTERNS,,"VITAL SIGNS: PATTERNS; In Aging, Distress Takes Its Toll",,,,By John O'Neil,"[{'firstname': 'John', 'middlename': None, 'lastname': ""O'Neil"", 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Linda Teri, University of Washington psychosocial and community health professor, publishes findings in Journal of American Medical Assn that show Alzheimer's patients who are given regular exercise routine and encouraged to participate daily have better quality of life, both emotionally and physically, than patients not participating in regular exercise; another study on Alzheimer's, conducted by Dr John Zeisel and published in journal Gerontologist, links environmental factors, such as cozy, familiar patient surroundings and outdoor access, to better quality of life and fewer psychotic symptoms and aggressive behaviors; studies hold that caregivers and families should recognize benefits of broader approach to treating disease utilizing nonpharmacological means; photo (M)",https://www.nytimes.com/2003/11/04/health/exercise-and-setting-ease-alzheimer-s-effects.html,"Linda Teri, University of Washington psychosocial and community health professor, publishes findings in Journal of American Medical Assn that show Alzheimer's patients who are given regular exercise routine and encouraged to participate daily have...","For many, a diagnosis of Alzheimer's disease can mean life in a dreary nursing home and a treatment centered on powerful antipsychotics to combat the onset of memory loss, dementia and other signs of a mind that is slowly unraveling.",F,5,The New York Times,[],"[{'name': 'organizations', 'value': 'University of Washington', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'GERONTOLOGIST, THE', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Journal of the American Medical Assn', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'TERI, LINDA', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'ZEISEL, JOHN', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'LIFE STYLES', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Exercise', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 10, 'major': 'N'}]",2003-11-04T05:00:00+0000,article,Health & Fitness,Health,News,nyt://article/08a199a3-84c9-5cc1-8a0d-7e9c4031cfa8,1108,nyt://article/08a199a3-84c9-5cc1-8a0d-7e9c4031cfa8,Exercise and Setting Ease Alzheimer's Effects,,,Exercise and Setting Ease Alzheimer's Effects,,,,By Anahad O'Connor,"[{'firstname': 'Anahad', 'middlename': None, 'lastname': ""O'Connor"", 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
Performers in television and radio commercials agreed yesterday to a new three-year contract.,https://www.nytimes.com/2003/10/29/business/media/accounts-and-people-of-note.html,Performers in television and radio commercials agreed yesterday to a new three-year contract., Performers in television and radio commercials agreed yesterday to a new three-year contract. ,,,The New York Times,[],"[{'name': 'organizations', 'value': 'AMERICAN FEDERATION OF TELEVISION AND RADIO ARTISTS', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSOCIATION"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'MARKETING AND MERCHANDISING', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ADVERTISING', 'rank': 4, 'major': 'N'}]",2003-10-29T05:00:00+0000,article,Business / Media & Advertising,Business Day,News,nyt://article/48ffa2f9-e053-5c38-96a6-95114d2aba9d,937,nyt://article/48ffa2f9-e053-5c38-96a6-95114d2aba9d,Accounts and People of Note,Addenda,,Accounts and People of Note,,,,,[],,Media,Alzheimer
"Computer simulation of driving experience is developed to help identify people whose ability to drive has been diminished to unsafe level by Alzheimer's disease; studies show that many patients drive for at least three years after they receive diagnosis of Alzheimer's; only California, Oregon and Pennsylvania require doctors to report drivers with Alzheimer's to state motor vehicle bureaus; conventional road tests are not sensitive enough to detect subtle cognitive impairments because they usually involve 'uneventful driving,' but simulators can create driving 'events' without harming anyone; photos (M)",https://www.nytimes.com/2003/10/22/automobiles/safety-virtual-testing-device-determines-skills-of-graying-drivers.html,Computer simulation of driving experience is developed to help identify people whose ability to drive has been diminished to unsafe level by Alzheimer's disease; studies show that many patients drive for at least three years after they receive dia...,"ROBERT PERODEAU of Farmington, Conn., stares ahead, maneuvering around obstacles and dangers -- like a car that suddenly pulls out in front of him.",G,12,The New York Times,[],"[{'name': 'glocations', 'value': 'Pennsylvania', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Oregon', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'MODELS (SIMULATIONS)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 9, 'major': 'N'}]",2003-10-22T05:00:00+0000,article,Cars,Automobiles,News,nyt://article/aeeca95d-f2c9-5be9-a141-851cbd16b646,1056,nyt://article/aeeca95d-f2c9-5be9-a141-851cbd16b646,Virtual Testing Device Determines Skills of Graying Drivers,SAFETY,,SAFETY; Virtual Testing Device Determines Skills of Graying Drivers,,,,By Abigail Sullivan Moore,"[{'firstname': 'Abigail', 'middlename': 'Sullivan', 'lastname': 'Moore', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
"Food and Drug Administration panel recommends approval of drug memantine, to be sold under brand name Namenda, for treatment of patients with moderate to severe Alzheimer's disease; many desperate Americans have been importing drug from Europe; drug, made by Forest Laboratories, blocks glutamate, brain chemical thought to damage nerve cells (M)",https://www.nytimes.com/2003/09/25/us/us-advisory-panel-recommends-drug-for-late-alzheimer-s.html,"Food and Drug Administration panel recommends approval of drug memantine, to be sold under brand name Namenda, for treatment of patients with moderate to severe Alzheimer's disease; many desperate Americans have been importing drug from Europe; dr...","A Food and Drug Administration panel today recommended approval of a new Alzheimer's treatment, which, if formally accepted, would be the first drug available for patients with more severe forms of the disease.",A,21,The New York Times,[],"[{'name': 'organizations', 'value': 'FOREST LABORATORIES', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Food and Drug Administration', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'NAMENDA', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'GLUTAMATE (AMINO ACID)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'MEMANTINE (DRUG)', 'rank': 8, 'major': 'N'}]",2003-09-25T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/83dad94f-c663-5a7d-818b-d276e76a8c23,315,nyt://article/83dad94f-c663-5a7d-818b-d276e76a8c23,U.S. Advisory Panel Recommends Drug For Late Alzheimer's,,,U.S. Advisory Panel Recommends Drug For Late Alzheimer's,,,,By Alicia Ault,"[{'firstname': 'Alicia', 'middlename': None, 'lastname': 'Ault', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
Alzheimer's Association and Intel Corp announce that they are forming consortium to explore application of computing technologies and sensor networks to care of patients with early and advanced cases of Alzheimer's disease (M),https://www.nytimes.com/2003/07/25/business/technology-intel-and-alzheimer-s-group-join-forces.html,Alzheimer's Association and Intel Corp announce that they are forming consortium to explore application of computing technologies and sensor networks to care of patients with early and advanced cases of Alzheimer's disease (M),The Alzheimer's Association and the Intel Corporation announced yesterday that they were forming a research consortium to explore the application of computing technologies and sensor networks to the care of patients with early and advanced cases of Alzheimer's disease.,C,5,The New York Times,[],"[{'name': 'organizations', 'value': 'Intel Corp', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSOCIATION"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 5, 'major': 'N'}]",2003-07-25T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/8fc36068-a43e-5a18-943d-095b02d264a0,536,nyt://article/8fc36068-a43e-5a18-943d-095b02d264a0,Intel and Alzheimer's Group Join Forces,TECHNOLOGY,,TECHNOLOGY; Intel and Alzheimer's Group Join Forces,,,,By John Markoff,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Markoff', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,Alzheimer
