abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,subsection_name,query_consulta
Fritzie Hess is determined to help scientists understand Alzheimer's.  She lost her father to it and cares for a sister who has advanced dementia.,https://www.nytimes.com/video/health/1194817106283/alzheimer-s-quest-for-understanding.html,Fritzie Hess is determined to help scientists understand Alzheimer's.  She lost her father to it and cares for a sister who has advanced dementia.,Fritzie Hess is determined to help scientists understand Alzheimer's.  She lost her father to it and cares for a sister who has advanced dementia.,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.190x126.fr.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/12/19/health/2350_a2_wg_alzPIB.190x126.fr.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'videoThumb', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.75x50.fr.jpg', 'height': 50, 'width': 75, 'legacy': {}, 'subType': 'videoThumb', 'crop_name': 'videoThumb'}, {'rank': 0, 'subtype': 'videoSmall', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.312x176.fr.jpg', 'height': 176, 'width': 312, 'legacy': {}, 'subType': 'videoSmall', 'crop_name': 'videoSmall'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.75x75.fr.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/19/health/2350_a2_wg_alzPIB.75x75.fr.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Alzheimer''s Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 4, 'major': 'N'}]",2007-12-20T01:00:49+0000,multimedia,,Health,Video,nyt://video/8b0a5b7a-6cfe-58bd-a6a5-621f4686dbe0,0,nyt://video/8b0a5b7a-6cfe-58bd-a6a5-621f4686dbe0,Alzheimer’s: Quest for Understanding,,,,,,,Sean Patrick Farrell,"[{'firstname': 'Sean', 'middlename': 'Patrick', 'lastname': 'Farrell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
One family's deadly struggle with early-onset Alzheimer's has given scientists a window into the disease and its genetic origins.,https://www.nytimes.com/video/health/1194817093193/alzheimer-s-the-rarest-gene.html,One family's deadly struggle with early-onset Alzheimer's has given scientists a window into the disease and its genetic origins.,One family's deadly struggle with early-onset Alzheimer's has given scientists a window into the disease and its genetic origins.,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2349_a2_wg_alzgen.190x126.fr.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/12/19/health/2349_a2_wg_alzgen.190x126.fr.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'videoThumb', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2349_a2_wg_alzgen.75x50.fr.jpg', 'height': 50, 'width': 75, 'legacy': {}, 'subType': 'videoThumb', 'crop_name': 'videoThumb'}, {'rank': 0, 'subtype': 'videoSmall', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2349_a2_wg_alzgen.312x176.fr.jpg', 'height': 176, 'width': 312, 'legacy': {}, 'subType': 'videoSmall', 'crop_name': 'videoSmall'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2349_a2_wg_alzgen.75x75.fr.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/19/health/2349_a2_wg_alzgen.75x75.fr.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Alzheimer''s Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 5, 'major': 'N'}]",2007-12-20T00:56:24+0000,multimedia,,Health,Video,nyt://video/6fc80398-800f-56e9-a21f-27a8e291ae6e,0,nyt://video/6fc80398-800f-56e9-a21f-27a8e291ae6e,Alzheimer's: The Rarest Gene,,,,,,,,[],,,,,Alzheimer
"Alzheimer’s seems to strike suddenly in old age, but scientists believe it begins long before symptoms occur.",https://www.nytimes.com/2007/12/26/health/26alzheimers.html,"Alzheimer’s seems to strike suddenly in old age, but scientists believe it begins long before symptoms occur.","For a perfectly healthy woman, Dianne Kerley has had quite a few medical tests in recent years: M.R.I. and PET scans of her brain, two spinal taps and hours of memory and thinking tests.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26alzheimers190.126.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/12/26/us/26alzheimers190.126.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26alzheimers.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2007/12/26/us/26alzheimers.xlarge1.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26alzheimers.xlarge1.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26alzheimers.3951.jpg', 'height': 260, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26alzheimers.751.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/26/us/26alzheimers.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Families and Family Life', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSN"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Stroke', 'rank': 7, 'major': 'N'}]",2007-12-26T05:00:00+0000,article,National,Health,Series,nyt://article/54b6daf1-f934-5e4c-ac9a-e104e53f075d,3423,nyt://article/54b6daf1-f934-5e4c-ac9a-e104e53f075d,Finding Alzheimer’s Before a Mind Fails,Six Killers: Alzheimer’s Disease,,Finding Alzheimer’s Before a Mind Fails,,,,By Denise Grady,"[{'firstname': 'Denise', 'middlename': None, 'lastname': 'Grady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,,Alzheimer
"This year, researchers completed work on a 50-question telephone quiz to help them identify Alzheimer’s patients long before they exhibit typical symptoms. Such a quiz may soon become part of regular medical care.",https://www.nytimes.com/2007/12/09/magazine/09_2_alzheimer.html,,"This year, researchers completed work on a 50-question telephone quiz to help them identify Alzheimer’s patients long before they exhibit typical symptoms. Such a quiz may soon become part of regular medical care.",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Health Insurance and Managed Care', 'rank': 5, 'major': 'N'}]",2007-12-09T05:00:00+0000,article,Magazine,Magazine,News,nyt://article/e73cfdb7-0ca9-51d3-8e79-4254faa90227,363,nyt://article/e73cfdb7-0ca9-51d3-8e79-4254faa90227,Alzheimer’s Telephone Screening,,,The 7th Annual Year in Ideas,,,,By Ron Feemster,"[{'firstname': 'Ron', 'middlename': None, 'lastname': 'Feemster', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"The way to lose weight in 2008 is the same as it has been every other year, because the basics of good nutrition have not changed. ",https://www.nytimes.com/2008/01/01/health/nutrition/01brod.html,"The way to lose weight in 2008 is the same as it has been every other year, because the basics of good nutrition have not changed. ","A desire to turn over a new, more healthful leaf typically accompanies the start of a new year. My mail, for example, has been inundated with diet books, most of which offer yet another gimmick aimed ultimately at getting the gullible reader to eat less and exercise more. ",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_190.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/12/31/science/brody_190.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_650.jpg', 'height': 450, 'width': 379, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_190.11.jpg', 'height': 231, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/31/science/brody_75775.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/31/science/brody_75775.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Fruit', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'BREAST', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Vegetables', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Weight', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing of Infants', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Vitamins', 'rank': 11, 'major': 'N'}]",2008-01-01T05:00:00+0000,article,Science,Health,News,nyt://article/02f940ed-3cb3-54da-b494-5e8ffcff1370,1170,nyt://article/02f940ed-3cb3-54da-b494-5e8ffcff1370,No Gimmicks: Eat Less and Exercise More,Personal Health,,No Gimmicks: Eat Less and Exercise More,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,7,Fitness & Nutrition,Alzheimer
Many cannot help wondering if Alzheimer’s disease has peeled back inhibitions to expose an ugly side that the patient was repressing all along.,https://www.nytimes.com/2007/12/26/health/26cope.html,Many cannot help wondering if Alzheimer’s disease has peeled back inhibitions to expose an ugly side that the patient was repressing all along.,"Family members are sometimes shocked and mortified to hear a relative with Alzheimer’s disease blurt out uncharacteristic, awful remarks  swear words, racial slurs, bitter complaints about a spouse. Many cannot help wondering if the disease has peeled back inhibitions to expose an ugly side that the patient was repressing all along. Was he or she a closet bigot, unhappily married, pleasant on the outside but hostile underneath? Or should the harsh words be dismissed as random sparks from sick and dying brain cells? ",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26cope.600.1.jpg', 'height': 280, 'width': 600, 'legacy': {'xlarge': 'images/2007/12/26/us/26cope.600.1.jpg', 'xlargewidth': 600, 'xlargeheight': 280}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26cope.600.1.jpg', 'height': 280, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/26/us/26cope.75.1.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/26/us/26cope.75.1.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Brain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSN"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Columbia University', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'University of Pittsburgh', 'rank': 8, 'major': 'N'}]",2007-12-26T05:00:00+0000,article,National,Health,Series,nyt://article/1f53aa49-2bb5-564c-a3f2-921c7ed7bea4,537,nyt://article/1f53aa49-2bb5-564c-a3f2-921c7ed7bea4,"Disease Brings Drastic Changes to Patients, and Stress to Family Members",Coping With Alzheimer’s,,"Disease Brings Drastic Changes to Patients, and Stress to Family Members",,,,By Denise Grady,"[{'firstname': 'Denise', 'middlename': None, 'lastname': 'Grady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,25,,Alzheimer
"Researchers think a combination of genes work together, maybe with other risk factors, to contribute to Alzheimer’s disease.",https://www.nytimes.com/2007/12/26/health/26gene.html,"Researchers think a combination of genes work together, maybe with other risk factors, to contribute to Alzheimer’s disease.","Genes play a role in Alzheimer’s disease, but in most cases the role is not fully understood. In some rare forms of the disease, which start early in life, in the 40s or even younger, single genes have been identified that make Alzheimer’s inevitable. In affected families, genetic tests can predict who will become demented. ",The New York Times,[],"[{'name': 'organizations', 'value': 'Boston University', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSN"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 7, 'major': 'N'}]",2007-12-26T05:00:00+0000,article,National,Health,Series,nyt://article/4a5db58c-f2f8-5465-896f-34e837b225b2,580,nyt://article/4a5db58c-f2f8-5465-896f-34e837b225b2,"In the Absence of a Gene That Says ‘Yes’ or ‘No,’ the Value of One That Says ‘Maybe’ Is Questioned",Testing for Alzheimer’s,,"In the Absence of a Gene That Says ‘Yes’ or ‘No,’ the Value of One That Says ‘Maybe’ Is Questioned",,,,By Denise Grady,"[{'firstname': 'Denise', 'middlename': None, 'lastname': 'Grady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,25,,Alzheimer
"Having just one parent with Alzheimer’s disease triples the risk; when both parents are affected, the amount of extra risk is not certain. ",https://www.nytimes.com/2007/12/26/health/26double.html,"Having just one parent with Alzheimer’s disease triples the risk; when both parents are affected, the amount of extra risk is not certain. "," “I’ve seen a number of adult children that have not one but two parents with dementia,” said Dr. Daniel I. Kaufer, a neurologist and director of the memory disorders program at the University of North Carolina in Chapel Hill. “It’s like the perfect storm of dementia care.”",The New York Times,[],"[{'name': 'subject', 'value': 'Families and Family Life', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': ""ALZHEIMER'S ASSN"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Nerves and Nervous System', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 7, 'major': 'N'}]",2007-12-26T05:00:00+0000,article,National,Health,Series,nyt://article/3e82c300-559f-5f28-b82c-cd01a4871f2b,611,nyt://article/3e82c300-559f-5f28-b82c-cd01a4871f2b,"When Both Parents Suffer Dementia, Children Suspect It Is Also in Their Future",The Risk Factors,,"When Both Parents Suffer Dementia, Children Suspect It Is Also in Their Future",,,,By Denise Grady,"[{'firstname': 'Denise', 'middlename': None, 'lastname': 'Grady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,24,,Alzheimer
Well-designed studies suggest several ways to improve the brain’s viability.,https://www.nytimes.com/2007/12/11/health/11brod.html,Well-designed studies suggest several ways to improve the brain’s viability.,"My husband, at 74, is the baby of his bridge group, which includes a woman of 85 and a man of 89. This challenging game demands an excellent memory (for bids, cards played, rules and so on) and an ability to think strategically and read subtle psychological cues. Never having had a head for cards, I continue to be amazed by the mental agility of these septua- and octogenarians.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/10/science/brain_190.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/12/10/science/brain_190.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/10/science/1211-sci-brody_190.1.jpg', 'height': 302, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/10/science/brody_7575.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/10/science/brody_7575.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}]",2007-12-11T05:00:00+0000,article,Science,Health,News,nyt://article/f7c8e053-8e7a-5aee-ba07-8e394f2ead02,1094,nyt://article/f7c8e053-8e7a-5aee-ba07-8e394f2ead02,Mental Reserves Keep Brains Agile,Personal Health,,Mental Reserves Keep Brains Agile,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,7,,Alzheimer
"Sticky notes, mnemonics and other tips for the forgetful. ",https://www.nytimes.com/2007/12/04/health/04brody.html,"Sticky notes, mnemonics and other tips for the forgetful. ","I bless the day 3M invented Post-It notes. I don’t think I could survive without them. They decorate my computer, reminding me how to do things like create a folder, undo an error or save an attachment without opening it. They adorn my refrigerator and kitchen cabinets to help me remember what to buy, what to order and when I have to be where.",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/03/science/brody_190.jpg', 'height': 293, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/03/science/brody75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/03/science/brody75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}]",2007-12-04T05:00:00+0000,article,Science,Health,News,nyt://article/9f97a434-d9e4-51e9-8945-b4eadc09f029,1204,nyt://article/9f97a434-d9e4-51e9-8945-b4eadc09f029,Cracking the Code to the Memory Vault,Personal Health,,Cracking the Code to the Memory Vault,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,7,,Alzheimer
