abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name,slideshow_credits,query_consulta
For older people alcohol has the potential to be a health benefit or a life-shortening hazard.,https://www.nytimes.com/2008/12/16/health/16brod.html,For older people alcohol has the potential to be a health benefit or a life-shortening hazard.,"Is alcohol a tonic or a toxin? The question is especially critical to older people, whose overall medical picture gives alcohol the potential to be a health benefit or a life-shortening hazard.",D,7,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/15/science/16brody_500.jpg', 'height': 500, 'width': 321, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/15/science/16brody_190.jpg', 'height': 294, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/15/science/16brody_395.jpg', 'height': 238, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/15/science/16brody_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/12/15/science/16brody_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Alcohol Abuse', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Alcoholic Beverages', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Longevity', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Osteoporosis', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Heart', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 9, 'major': 'N'}]",2008-12-15T19:35:14+0000,article,Science,Health,News,nyt://article/e43be416-bca0-5e71-b035-cfd0f15b106c,1352,nyt://article/e43be416-bca0-5e71-b035-cfd0f15b106c,Query for Aging Patients: How Much Do You Drink?,Personal Health,,Query for Aging Patients: How Much Do You Drink?,,,,By JANE BRODY,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'BRODY', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"Even as they make up nearly 40 percent of family care providers now, men are less likely to ask for help to cope.",https://www.nytimes.com/2008/11/29/us/29sons.html,"Even as they make up nearly 40 percent of family care providers now, men are less likely to ask for help to cope.","When Peter Nicholson’s mother suffered a series of strokes last winter, he did something women have done for generations: he quit his job and moved into her West Hollywood home to care for her full time. ",A,1,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/29/us/29sons-inline1-650.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/29/us/29sons-inline1-190.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'Families and Family Life', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Men', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Emotions', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 6, 'major': 'N'}]",2008-11-29T02:32:09+0000,article,National,U.S.,News,nyt://article/a7c81228-8ce0-56c8-9774-524b4dbcc997,1597,nyt://article/a7c81228-8ce0-56c8-9774-524b4dbcc997,More Men Take the Lead Role in Caring for Elderly Parents,,,More Men Take the Lead Role In Caring for Elderly Parents,,,,By John Leland,"[{'firstname': 'John', 'middlename': None, 'lastname': 'Leland', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"Ginkgo biloba appears to do nothing to prevent dementia or Alzheimer’s disease, a new study says.",https://www.nytimes.com/2008/11/25/health/research/25nost.html,"Ginkgo biloba appears to do nothing to prevent dementia or Alzheimer’s disease, a new study says.","Ginkgo biloba, an herbal supplement widely used in the belief that it is good for memory and mental sharpness, appears to do nothing to prevent dementia or Alzheimer’s disease, a new study says.",D,6,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dietary Supplements and Herbal Remedies', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}]",2008-11-24T22:16:17+0000,article,Science,Health,News,nyt://article/3e9df2d3-9583-50a3-87db-231d51a233b3,165,nyt://article/3e9df2d3-9583-50a3-87db-231d51a233b3,Nostrums: Ginkgo Biloba Found Not to Avert Dementia,Vital Signs,,Ginkgo Biloba Found Not to Avert Dementia,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Research,,Alzheimer
"In the largest randomized trial of ginkgo biloba to date, researchers found that the extract did not prevent or delay memory loss or Alzheimer’s disease.",https://www.nytimes.com/2008/11/19/health/research/18gingko.html,"In the largest randomized trial of ginkgo biloba to date, researchers found that the extract did not prevent or delay memory loss or Alzheimer’s disease.","The largest and longest independent clinical trial to assess ginkgo biloba’s ability to prevent memory loss has found that the supplement does not prevent or delay dementia or Alzheimer’s disease, researchers are reporting. ",,,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/18/health/research/ginkgo.190.jpg', 'height': 284, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/18/health/research/ginkgo.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/11/18/health/research/ginkgo.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Ginkgo Biloba', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2008-11-18T22:28:11+0000,article,Science,Health,News,nyt://article/69821ac6-ffd6-5281-89cc-01ef60fd0855,680,nyt://article/69821ac6-ffd6-5281-89cc-01ef60fd0855,"Ginkgo Biloba Ineffective Against Dementia, Researchers Find",,,"Ginkgo Biloba Ineffective Against Dementia, Researchers Find",,,,By Roni Caryn Rabin,"[{'firstname': 'Roni', 'middlename': 'Caryn', 'lastname': 'Rabin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Research,,Alzheimer
A provocative visual artist takes a detour from the rock ’n’ roll fast lane and designs a postage stamp commemorating Alzheimer’s disease.,https://www.nytimes.com/2008/11/02/nyregion/long-island/02colli.html,A provocative visual artist takes a detour from the rock ’n’ roll fast lane and designs a postage stamp commemorating Alzheimer’s disease.,Northport,LI,1,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/02/nyregion/02colliHIM.large.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/02/nyregion/02colliHIM.190.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/11/02/nyregion/02colli.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/11/02/nyregion/02colli.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'Long Island (NY)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Art', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Rock Music', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Mahurin, Matt', 'rank': 5, 'major': 'N'}]",2008-10-31T21:08:43+0000,article,Regionals,New York,News,nyt://article/afcd73cf-457a-5415-a10d-e0b35c7d174f,981,nyt://article/afcd73cf-457a-5415-a10d-e0b35c7d174f,From Rock Videos to an Alzheimer’s Stamp,The Island | Northport,,From Rock Videos To an Alzheimer’s Stamp,,,,By Robin Finn,"[{'firstname': 'Robin', 'middlename': None, 'lastname': 'Finn', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Long Island,,Alzheimer
Studies suggest Hispanics have more risk factors for developing Alzheimer’s earlier than other groups.,https://www.nytimes.com/slideshow/2008/10/20/us/20081020ALZHEIMERS_index.html,Studies suggest Hispanics have more risk factors for developing Alzheimer’s earlier than other groups.,Studies suggest Hispanics have more risk factors for developing Alzheimer’s earlier than other groups.,,,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/20/us/20081020ALZHEIMERS-B.JPG', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2008/10/20/us/20081020ALZHEIMERS-B.JPG'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/20/us/20081020ALZHEIMERS-S.JPG', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/10/20/us/20081020ALZHEIMERS-S.JPG', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Hispanic-Americans', 'rank': 2, 'major': 'N'}]",2008-10-20T23:05:02+0000,multimedia,U.S.,U.S.,Slideshow,nyt://slideshow/8ee41f50-b7d5-5ed3-a7e2-5c5692a55a14,0,nyt://slideshow/8ee41f50-b7d5-5ed3-a7e2-5c5692a55a14,Coping With Alzheimer’s,,,,,,,,[],,,Jessica Kourkounis for The New York Times,Alzheimer
"A significant number of Hispanics appear to be getting Alzheimer’s earlier, according to recent studies.",https://www.nytimes.com/2008/10/21/us/21alzheimers.html,"A significant number of Hispanics appear to be getting Alzheimer’s earlier, according to recent studies.",PHILADELPHIA  Antonio Vasquez was just 60 when Alzheimer’s disease derailed him. ,A,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-600.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2008/10/21/us/21alzheimers-600.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-600.jpg', 'height': 330, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-395.jpg', 'height': 266, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/10/21/us/21alzheimers-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Hispanic-Americans', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2008-10-21T02:54:32+0000,article,National,U.S.,News,nyt://article/fe11ebf5-d9ae-5c58-9cd9-eee233c2aeef,1475,nyt://article/fe11ebf5-d9ae-5c58-9cd9-eee233c2aeef,"More Alzheimer’s Risk for Hispanics, Studies Find",,,"More Alzheimer’s Risk Factors For Hispanics, Studies Suggest",,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"Jane Doe, a woman with dementia, is one of a number of anonymous older people in state custody whose long-term care is confounded by federal Medicaid policy concerning immigrants.",https://www.nytimes.com/2008/10/21/nyregion/21jane.html,"Jane Doe, a woman with dementia, is one of a number of anonymous older people in state custody whose long-term care is confounded by federal Medicaid policy concerning immigrants.","GLEN GARDNER, N.J.  One person was positive the woman was the well-dressed bag lady who used to frequent a Pathmark supermarket near the Woodbridge Center mall. Another remembered serving her cheeseburgers at the local Burger King. ",A,25,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/nyregion/21jane_450.jpg', 'height': 450, 'width': 300, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/nyregion/21jane_190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/nyregion/21jane_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/10/21/nyregion/21jane_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Elderly', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'New Jersey', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicaid', 'rank': 4, 'major': 'N'}]",2008-10-21T03:28:36+0000,article,Metro,New York,News,nyt://article/8a384c59-0c15-5bdb-9a35-85a919ff308d,1731,nyt://article/8a384c59-0c15-5bdb-9a35-85a919ff308d,"For a Jane Doe, Seeking an Identity and Immigration Status",,,"For a Jane Doe, Seeking an Identity and Immigration Status",,,,By Anemona Hartocollis,"[{'firstname': 'Anemona', 'middlename': None, 'lastname': 'Hartocollis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
"Recent studies suggest considerable benefits from increased levels of B12, especially in adults over 50, but they cannot prove cause and effect.",https://www.nytimes.com/2008/10/14/health/14brod.html,"Recent studies suggest considerable benefits from increased levels of B12, especially in adults over 50, but they cannot prove cause and effect.","It has long been known that vitamins must be obtained from sources outside the body  food and drink, and for vitamin D, exposure to sunlight  and that failing to get enough of a vitamin can result in well-defined and sometimes deadly diseases. ",D,7,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/13/science/brody_190.jpg', 'height': 320, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/13/science/brody_7575.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/10/13/science/brody_7575.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'ANEMIA', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Vitamin B12', 'rank': 4, 'major': 'N'}]",2008-10-13T22:32:00+0000,article,Science,Health,News,nyt://article/4b62930c-9c4b-5a9d-a1dd-86a04b257a72,1194,nyt://article/4b62930c-9c4b-5a9d-a1dd-86a04b257a72,"A Push for Adding B12, Though the Jury Is Out",Personal Health,,"A Push for Adding B12, Though the Jury Is Out",,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
Dr. Katzman redefined Alzheimer’s disease as a major public health problem and as the most frequent progressive form of dementia in aging.,https://www.nytimes.com/2008/09/24/us/24katzman.html,Dr. Katzman redefined Alzheimer’s disease as a major public health problem and as the most frequent progressive form of dementia in aging.,"Dr. Robert Katzman, the neurologist, researcher and medical activist who redefined Alzheimer’s disease as a major public health problem and as the most frequent progressive form of dementia in aging, died Sept. 16 at his home in San Diego. He was 82.",B,6,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/24/us/katzman190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/24/us/katzman75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/09/24/us/katzman75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}]",2008-09-24T00:15:51+0000,article,National,U.S.,Obituary (Obit),nyt://article/5b69a977-2dc0-554c-ad9c-25e3c93cf740,792,nyt://article/5b69a977-2dc0-554c-ad9c-25e3c93cf740,"Robert Katzman, Alzheimer’s Activist, Dies at 82",,,"Robert Katzman, Alzheimer’s Activist, Dies at 82",,,,By H. Roger Segelken,"[{'firstname': 'H.', 'middlename': 'Roger', 'lastname': 'Segelken', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,Alzheimer
