abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,slideshow_credits,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,subsection_name,query_consulta
"In a strategy that disregards typical nursing-home rules, the Beatitudes nursing home in Phoenix allows patients practically anything that brings comfort.",https://www.nytimes.com/slideshow/2010/12/31/health/20110101_CARE.html,"In a strategy that disregards typical nursing-home rules, the Beatitudes nursing home in Phoenix allows patients practically anything that brings comfort.","In a strategy that disregards typical nursing-home rules, the Beatitudes nursing home in Phoenix allows patients practically anything that brings comfort.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/31/science/20110101_CARE-slide-NZJI/20110101_CARE-slide-NZJI-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/12/31/science/20110101_CARE-slide-NZJI/20110101_CARE-slide-NZJI-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/31/science/20110101_CARE-slide-NZJI/20110101_CARE-slide-NZJI-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'slide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/31/science/20110101_CARE-slide-NZJI/20110101_CARE-slide-NZJI-slide.jpg', 'height': 400, 'width': 600, 'legacy': {}, 'subType': 'slide', 'crop_name': 'slide'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/31/science/20110101_CARE-slide-NZJI/20110101_CARE-slide-NZJI-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/12/31/science/20110101_CARE-slide-NZJI/20110101_CARE-slide-NZJI-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}]",2011-01-01T02:16:55+0000,multimedia,Health,Health,Slideshow,nyt://slideshow/1e14ba1e-bee1-5b1a-aca1-3f263ec5a8f0,0,Todd Heisler/The New York Times,nyt://slideshow/1e14ba1e-bee1-5b1a-aca1-3f263ec5a8f0,"For Alzheimer’s Patients, Focusing on Comfort",,,,,,,,[],,,,,Alzheimer
"A Phoenix nursing home has found that unlimited chocolate, and other comforts, go a long way in reducing patients’ distress.",https://www.nytimes.com/2011/01/01/health/01care.html,"A Phoenix nursing home has found that unlimited chocolate, and other comforts, go a long way in reducing patients’ distress.","PHOENIX — Margaret Nance was, to put it mildly, a difficult case. Agitated, combative, often reluctant to eat, she would hit staff members and fellow residents at nursing homes, several of which kicked her out. But when Beatitudes nursing home agreed to an urgent plea to accept her, all that changed.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-articleLarge-v2.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2011/01/01/health/CARE/CARE-articleLarge-v2.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-jumbo.jpg', 'height': 660, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-popup.jpg', 'height': 419, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-articleInline.jpg', 'height': 122, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-sfSpan.jpg', 'height': 255, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2011/01/01/health/CARE/CARE-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2011/01/01/health/CARE/CARE-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2011-01-01T01:01:21+0000,article,National,Health,News,nyt://article/0bece6bf-8baf-5504-ba73-9a716a92ca2c,2063,,nyt://article/0bece6bf-8baf-5504-ba73-9a716a92ca2c,"Giving Alzheimer’s Patients Their Way, Even Chocolate",Mind,,"Giving Alzheimer’s Patients Their Way, Even Doses of Chocolate",,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,,Alzheimer
"Scientists find that the brain’s inability to remove amyloid plaque, not its overproduction, may be the cause of Alzheimer’s.",https://newoldage.blogs.nytimes.com/2010/12/14/closing-in-on-alzheimers-disease/,"Scientists find that the brain’s inability to remove amyloid plaque, not its overproduction, may be the cause of Alzheimer’s.",The Times reports this morning on new research into the cause of Alzheimer’s disease. ,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}]",2010-12-14T16:20:37+0000,article,,Health,,nyt://article/098076b9-49d3-56e3-9655-8596e3de00f0,135,,nyt://article/098076b9-49d3-56e3-9655-8596e3de00f0,Closing In on Alzheimer’s Disease,The New Old Age,,,,,,By The New York Times,[],The New York Times,,,,Alzheimer
"Since there is no treatment, doctors wonder if they should tell people, years earlier, that they have the disease, or a good chance of getting it.",https://www.nytimes.com/2010/12/18/health/18moral.html,"Since there is no treatment, doctors wonder if they should tell people, years earlier, that they have the disease, or a good chance of getting it.","Marjie Popkin thought she had chemo brain, that fuzzy-headed forgetful state that she figured was a result of her treatment for ovarian cancer. She was not thinking clearly — having trouble with numbers, forgetting things she had just heard.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-articleLarge.jpg', 'height': 360, 'width': 600, 'legacy': {'xlarge': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 360}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-jumbo.jpg', 'height': 663, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-popup.jpg', 'height': 421, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-articleInline.jpg', 'height': 123, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-sfSpan.jpg', 'height': 256, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/12/17/us/17jpMORAL1/17jpMORAL1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Ethics', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 7, 'major': 'N'}]",2010-12-18T01:45:36+0000,article,National,Health,News,nyt://article/1eccf68a-ea92-5ca1-a55f-164d2c032827,2394,,nyt://article/1eccf68a-ea92-5ca1-a55f-164d2c032827,"Tests Detect Alzheimer’s Risks, but Should Patients Be Told?",Mind,,"Tests Detect Alzheimer’s Risks, But Should Patients Be Told?",,,,By Gina Kolata,"[{'firstname': 'Gina', 'middlename': None, 'lastname': 'Kolata', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,,Alzheimer
Older people with the highest levels of “good” HDL cholesterol were 60 percent less likely to develop Alzheimer’s than those with the lowest HDL levels.,https://well.blogs.nytimes.com/2010/12/16/good-cholesterol-may-lower-alzheimers-risk/,Older people with the highest levels of “good” HDL cholesterol were 60 percent less likely to develop Alzheimer’s than those with the lowest HDL levels.,Could HDL cholesterol — the good kind linked to lower heart disease risk — also protect people from dementia?,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Cholesterol', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",2010-12-16T17:31:40+0000,article,,Health,,nyt://article/3bcd0d88-cc3c-5bf8-aa34-5aa7e5982192,619,,nyt://article/3bcd0d88-cc3c-5bf8-aa34-5aa7e5982192,‘Good’ Cholesterol May Lower Alzheimer’s Risk,Well,,,,,,By Roni Caryn Rabin,"[{'firstname': 'Roni', 'middlename': 'Caryn', 'lastname': 'Rabin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
A wave of unexpected findings are enriching scientists’ views of the genesis of the disease.,https://www.nytimes.com/2010/12/14/health/14alzheimers.html,A wave of unexpected findings are enriching scientists’ views of the genesis of the disease.,"Alzheimer’s researchers are obsessed with a small, sticky protein fragment, beta amyloid, that clumps into barnaclelike balls in the brains of patients with this degenerative neurological disease.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-blog480.jpg', 'height': 307, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-jumbo.jpg', 'height': 656, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-popup.jpg', 'height': 417, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/ALZH-1-articleInline.jpg', 'height': 122, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/ALZH-1-sfSpan.jpg', 'height': 253, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/12/14/health/14ALZHEIMERS1_span/14ALZHEIMERS1_span-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Elderly', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2010-12-13T21:38:35+0000,article,Science,Health,News,nyt://article/99860f7f-5799-5d6e-98b8-e2aeb4b5dca5,2561,,nyt://article/99860f7f-5799-5d6e-98b8-e2aeb4b5dca5,Insights Give Hope for New Attack on Alzheimer’s,Mind,,Insights Give Hope for New Attack on Alzheimer’s,,,,By Gina Kolata,"[{'firstname': 'Gina', 'middlename': None, 'lastname': 'Kolata', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,1,,Alzheimer
"The bill, expected to be signed by President Obama, aims to coordinate the country’s approach to research, treatment and care giving.",https://www.nytimes.com/2010/12/16/us/politics/16alzheimer.html,"The bill, expected to be signed by President Obama, aims to coordinate the country’s approach to research, treatment and care giving.","Congress has voted unanimously to create, for the first time, a national plan to combat Alzheimer’s disease with the same intensity as the attacks on AIDS and cancer. ",The New York Times,[],"[{'name': 'organizations', 'value': 'Health and Human Services Department', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 4, 'major': 'N'}]",2010-12-16T04:55:10+0000,article,National,U.S.,News,nyt://article/fe879348-92ca-54c5-b18c-aa9c397f6070,655,,nyt://article/fe879348-92ca-54c5-b18c-aa9c397f6070,"With Alzheimer’s Patients Growing in Number, Congress Endorses a National Plan",,,"With Alzheimer’s Patients Growing in Number, Congress Endorses a National Plan",,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,26,Politics,Alzheimer
The government is funding research into techniques that may make caring for those with Alzheimer’s less burdensome.,https://newoldage.blogs.nytimes.com/2011/01/01/caregiving-and-dementia-new-ideas/,The government is funding research into techniques that may make caring for those with Alzheimer’s less burdensome.,The Times reports today on research into new ways to care for people with Alzheimer’s disease and other forms of dementia. ,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}]",2011-01-01T18:37:37+0000,article,,Health,,nyt://article/feedb1fc-d8bb-5c4c-95d1-4255e82d0726,273,,nyt://article/feedb1fc-d8bb-5c4c-95d1-4255e82d0726,Caregiving and Dementia: New Ideas,The New Old Age,,,,,,By The New York Times,[],The New York Times,,,,Alzheimer
"South Korea is training thousands, including children, as “dementia supporters,” to recognize symptoms and care for patients.",https://www.nytimes.com/2010/11/26/health/26alzheimers.html,"South Korea is training thousands, including children, as “dementia supporters,” to recognize symptoms and care for patients.","SEONGNAM, South Korea  They were stooped, hobbled, disoriented, fumbling around the house. They got confused in the bathtub and struggled up stairs that seemed to swim before them. ",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Memory', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 7, 'major': 'N'}]",2010-11-26T02:05:26+0000,article,Foreign,Health,News,nyt://article/63183f94-584b-5284-ad2f-8d704afd9077,2034,,nyt://article/63183f94-584b-5284-ad2f-8d704afd9077,Children Ease Alzheimer’s in Land of Aging,Mind,,"In a Land of the Aging, Children Counter Alzheimer’s",,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,,Alzheimer
South Korea struggles with rising numbers of citizens with Alzheimer’s disease.,https://newoldage.blogs.nytimes.com/2010/11/26/a-war-on-dementia/,South Korea struggles with rising numbers of citizens with Alzheimer’s disease.,"The Times reports this morning on efforts in South Korea, one of the fastest-aging nations, to grapple with an epidemic Alzheimer’s disease.",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 4, 'major': 'N'}]",2010-11-26T15:11:35+0000,article,,Health,,nyt://article/c3cb6849-6a4a-565f-92d0-95f63878960d,163,,nyt://article/c3cb6849-6a4a-565f-92d0-95f63878960d,A War on Dementia,The New Old Age,,,,,,By The New York Times,[],The New York Times,,,,Alzheimer
