abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,type_of_material,query_consulta,subsection_name
"HALLE, Saxony - It is learned that the little town of Falkenberg has become afflicted by collective and contagious religious dementia of the sort that so frequently broke out in various parts of Europe in the Middle Ages and following the Napoleonic wars.",https://www.nytimes.com/1995/03/04/opinion/IHT-1920religious-dementia-in-our-pages100-75-and-50-years-ago.html,"HALLE, Saxony - It is learned that the little town of Falkenberg has become afflicted by collective and contagious religious dementia of the sort that so frequently broke out in various parts of Europe in the Middle Ages and following the Napoleon...","HALLE, Saxony - It is learned that the little town of Falkenberg has become afflicted by collective and contagious religious dementia of the sort that so frequently broke out in various parts of Europe in the Middle Ages and following the Napoleonic wars. Men and women in the town have formed a sect, the members of which believe themselves to be in direct communication with the Holy Ghost.",International Herald Tribune,[],[],1995-03-04T05:00:00+0000,article,IHT News,Opinion,nyt://article/620afdb6-e259-52ad-bcc5-9becc0d2189a,392,nyt://article/620afdb6-e259-52ad-bcc5-9becc0d2189a,"1920:Religious Dementia : IN OUR PAGES:100, 75 AND 50 YEARS AGO",,,"1920:Religious Dementia : IN OUR PAGES:100, 75 AND 50 YEARS AGO",,,,", International Herald Tribune",[],,,,,dementia,
Here are reviews of Christmas compact disks by pop critics of The New York Times. The CD's range in price from $9.98 to $16.98. (An introduction appears on page C1.)        ,https://www.nytimes.com/1995/12/08/arts/for-a-joyous-holiday-season-canines-and-crooners-093840.html,,Here are reviews of Christmas compact disks by pop critics of The New York Times. The CD's range in price from $9.98 to $16.98. (An introduction appears on page C1.),The New York Times,[],[],1995-12-08T05:00:00+0000,article,Weekend Desk,Arts,nyt://article/a817579e-caf8-573f-9351-a7efe251d4ff,91,nyt://article/a817579e-caf8-573f-9351-a7efe251d4ff,"For a Joyous Holiday Season, Canines and Crooners",,,"For a Joyous Holiday Season, Canines and Crooners",,,,By Jon Pareles,"[{'firstname': 'Jon', 'middlename': None, 'lastname': 'Pareles', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,C,4,Review,dementia,
"  Several patients at a county-owned nursing home in Westchester have inflicted physical or sexual abuse on at least 10 other patients since December, the State Department of Health has charged.   In a report, health officials put the blame on administrators at the Ruth Taylor Geriatric and Rehabilitation Institute in Hawthorne, charging that they did not adequately supervise a locked 33-bed unit for patients suffering from Alzheimer's disease and other dementia. The report paints a chaotic picture of conditions there, with apparent slapping matches breaking out among patients and with several patients wandering out of the unit.",https://www.nytimes.com/1995/08/25/nyregion/patients-abuse-other-patients-at-nursing-home-report-says.html,,"Several patients at a county-owned nursing home in Westchester have inflicted physical or sexual abuse on at least 10 other patients since December, the State Department of Health has charged.",The New York Times,[],"[{'name': 'glocations', 'value': 'Westchester County (NY)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'TAYLOR, RUTH, GERIATRIC AND REHABILITATION INSTITUTE', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sex Crimes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Assaults', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 5, 'major': 'N'}]",1995-08-25T05:00:00+0000,article,Metropolitan Desk,New York,nyt://article/fe1eb748-15c5-5e68-963f-f4cf740d8885,449,nyt://article/fe1eb748-15c5-5e68-963f-f4cf740d8885,"Patients Abuse Other Patients At Nursing Home, Report Says",,,"Patients Abuse Other Patients At Nursing Home, Report Says",,,,By Ian Fisher,"[{'firstname': 'Ian', 'middlename': None, 'lastname': 'Fisher', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,4,News,dementia,
"Men with high blood pressure in midlife are much more likely to have trouble  thinking and remembering things when they are old, a study found.         The finding adds yet another reason to control high blood pressure, which is  already known to be a risk factor for stroke and heart disease.   ",https://www.nytimes.com/1995/12/20/garden/a-blood-pressure-risk.html,,"Men with high blood pressure in midlife are much more likely to have trouble thinking and remembering things when they are old, a study found.",The New York Times,[],"[{'name': 'subject', 'value': 'Memory', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Men', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Intelligence', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Blood Pressure', 'rank': 4, 'major': 'N'}]",1995-12-20T05:00:00+0000,article,Living Desk,Home & Garden,nyt://article/95afe476-7355-5117-8af8-4e2248fb3142,397,nyt://article/95afe476-7355-5117-8af8-4e2248fb3142,A Blood Pressure Risk,,,A Blood Pressure Risk,,,,AP,[],AP,C,10,News,dementia,
"  GHOST STORIES  By E. M. Broner. Global City Press/Consortium Book Sales, 1045 Westgate Drive, St. Paul, Minn. 55114; paper, $12.",https://www.nytimes.com/1995/07/02/books/in-short-fiction-416595.html,,"GHOST STORIES By E. M. Broner. Global City Press/Consortium Book Sales, 1045 Westgate Drive, St. Paul, Minn. 55114; paper, $12.",The New York Times,[],"[{'name': 'persons', 'value': 'BRONER, E M', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'GHOST STORIES (BOOK)', 'rank': 3, 'major': 'N'}]",1995-07-02T05:00:00+0000,article,Book Review Desk,Books,nyt://article/e66f6650-78fa-5596-b35e-efd47ed50bed,193,nyt://article/e66f6650-78fa-5596-b35e-efd47ed50bed,IN SHORT: FICTION,,,IN SHORT: FICTION,,,,By Suzanne Berne,"[{'firstname': 'Suzanne', 'middlename': None, 'lastname': 'Berne', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,7,11,Review,dementia,
"  Finally, on the eve of Seles versus Navratilova, the exhibition match that has taken on all the dimension and dementia of a soap opera, the mystery player showed up in the flesh today, proof positive that tennis history can happen in the strangest of spots, even a hot spot like this gaudy boardwalk.     There wasn't a racquet in sight, but there was this weekend's version of a prizefight, Monica Seles -- the one who was stabbed in midmatch in April 1993 -- against Martina Navratilova -- the one who's not really retired -- up in neon chaser lights at oceanside.",https://www.nytimes.com/1995/07/29/sports/tennis-friends-romans-police-greet-seles-for-return.html,,"Finally, on the eve of Seles versus Navratilova, the exhibition match that has taken on all the dimension and dementia of a soap opera, the mystery player showed up in the flesh today, proof positive that tennis history can happen in the strangest of spots, even a hot spot like this gaudy boardwalk.",The New York Times,[],"[{'name': 'persons', 'value': 'Seles, Monica', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Navratilova, Martina', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Tennis', 'rank': 4, 'major': 'N'}]",1995-07-29T05:00:00+0000,article,Sports Desk,Sports,nyt://article/6c113298-4fd6-54d0-9663-5c8598505acb,479,nyt://article/6c113298-4fd6-54d0-9663-5c8598505acb,"Friends, Romans, Police Greet Seles for Return",TENNIS,,"TENNIS; Friends, Romans, Police Greet Seles for Return",,,,By Robin Finn,"[{'firstname': 'Robin', 'middlename': None, 'lastname': 'Finn', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,1,32,News,dementia,
"They met last New Year's Eve. He was tall with an easy manner. She was petite with a girlish smile. He asked her to dance and held her close. ""I didn't push him away,"" she said. ""I've been around awhile. I've pushed a lot of men away.""         It was a modern romance, at once pure and complicated. First, there was his wife. He was still married, although separated. Then, there was his walker.   ",https://www.nytimes.com/1995/11/06/nyregion/a-kind-of-sexual-revolution-at-some-nursing-homes-intimacy-is-a-matter-of-policy.html,,"They met last New Year's Eve. He was tall with an easy manner. She was petite with a girlish smile. He asked her to dance and held her close. ""I didn't push him away,"" she said. ""I've been around awhile. I've pushed a lot of men away.""",The New York Times,[],"[{'name': 'organizations', 'value': 'Hebrew Home for the Aged', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Sex', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 4, 'major': 'N'}]",1995-11-06T05:00:00+0000,article,Metropolitan Desk,New York,nyt://article/723a1fa1-9871-54e5-9085-01fc6045219e,1376,nyt://article/723a1fa1-9871-54e5-9085-01fc6045219e,"A Kind of Sexual Revolution;At Some Nursing Homes, Intimacy Is a Matter of Policy",,,"A Kind of Sexual Revolution;At Some Nursing Homes, Intimacy Is a Matter of Policy",,,,By Matthew Purdy,"[{'firstname': 'Matthew', 'middlename': None, 'lastname': 'Purdy', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,1,News,dementia,
"Nelson Butters, a professor of psychiatry at the University of California at  San Diego and an expert on memory and memory disorders, died on Nov. 18 at his home in San Diego. He was 58.         Dr. Butters died of amyotrophic lateral sclerosis, or Lou Gehrig's disease, his colleagues said.   ",https://www.nytimes.com/1995/12/04/us/nelson-butters-58-memory-researcher.html,,"Nelson Butters, a professor of psychiatry at the University of California at San Diego and an expert on memory and memory disorders, died on Nov. 18 at his home in San Diego. He was 58.",The New York Times,[],"[{'name': 'persons', 'value': 'BUTTERS, NELSON', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 2, 'major': 'N'}]",1995-12-04T05:00:00+0000,article,National Desk,U.S.,nyt://article/031d7cee-8ba8-5f6b-9e56-e2b840f012b8,218,nyt://article/031d7cee-8ba8-5f6b-9e56-e2b840f012b8,"Nelson Butters, 58, Memory Researcher",,,"Nelson Butters, 58, Memory Researcher",,,,,[],,B,9,Obituary; Biography,dementia,
"The probation report for the treasurer who presided over Orange County's financial debacle will recommend that he serve no more than a year in county jail despite his guilty pleas to six felonies, the sentencing judge was told yesterday.         The report on the former county treasurer, Robert L. Citron, by a San Diego County probation officer will recommend probation with no time in state prison,  said Mr. Citron's lawyer, David W. Wiechert.   ",https://www.nytimes.com/1995/12/19/us/ex-official-s-lawyer-asking-for-leniency.html,,"The probation report for the treasurer who presided over Orange County's financial debacle will recommend that he serve no more than a year in county jail despite his guilty pleas to six felonies, the sentencing judge was told yesterday.",The New York Times,[],"[{'name': 'glocations', 'value': 'Orange County (Calif)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Citron, Robert L', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Probation and Parole', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Finances', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Bankruptcies', 'rank': 5, 'major': 'N'}]",1995-12-19T05:00:00+0000,article,National Desk,U.S.,nyt://article/d88f7c3a-ff2a-51df-a29f-0bd5ad108290,187,nyt://article/d88f7c3a-ff2a-51df-a29f-0bd5ad108290,Ex-Official's Lawyer Asking for Leniency,,,Ex-Official's Lawyer Asking for Leniency,,,,AP,[],AP,B,12,News,dementia,
"    FAULT LINES By Anne Rivers Siddons. HarperCollins, $24.   ",https://www.nytimes.com/1995/12/10/books/books-in-brief-fiction-002518.html,,"FAULT LINES By Anne Rivers Siddons. HarperCollins, $24.",The New York Times,[],"[{'name': 'persons', 'value': 'SIDDONS, ANNE RIVERS', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'Fault Lines (Book)', 'rank': 4, 'major': 'N'}]",1995-12-10T05:00:00+0000,article,Book Review Desk,Books,nyt://article/02ab82f1-2fde-52c1-bd29-92b72756c8e6,314,nyt://article/02ab82f1-2fde-52c1-bd29-92b72756c8e6,Books in Brief: FICTION,,,Books in Brief: FICTION,,,,By Sarah Ferguson,"[{'firstname': 'Sarah', 'middlename': None, 'lastname': 'Ferguson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,7,27,Review,dementia,
