abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta,subsection_name
"It is kindest, perhaps, to think of it as merely another bead on the abacus:  No. 30 out of 36 in the continuing marathon of the complete plays of William Shakespeare from the New York Shakespeare Festival. It's the most difficult one  to get right, anyway: practically impossible. And now at least, for the record,  it has been done.         Still, the heart plummets before the paltry spectacle that the director Adrian Hall and his star, F. Murray Abraham, have made of the magnificent ""King  Lear,"" a metamorphosis that parallels the monarch's own descent from grandeur into rags and dementia.   ",https://www.nytimes.com/1996/01/26/theater/theater-review-a-monarch-s-slide-into-dementia.html,,"It is kindest, perhaps, to think of it as merely another bead on the abacus: No. 30 out of 36 in the continuing marathon of the complete plays of William Shakespeare from the New York Shakespeare Festival. It's the most difficult one to get right, anyway: practically impossible. And now at least, for the record, it has been done.",C,3,The New York Times,[],"[{'name': 'organizations', 'value': 'PAPP, JOSEPH, PUBLIC THEATER', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'NEW YORK SHAKESPEARE FESTIVAL', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Shakespeare, William', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'ABRAHAM, F MURRAY', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'King Lear (Play)', 'rank': 7, 'major': 'N'}]",1996-01-26T05:00:00+0000,article,Weekend Desk,Theater,Review,nyt://article/20d47a89-50d7-546a-a460-57785c74f06d,1055,nyt://article/20d47a89-50d7-546a-a460-57785c74f06d,THEATER REVIEW;A Monarch's Slide Into Dementia,THEATER REVIEW,,THEATER REVIEW;A Monarch's Slide Into Dementia,,,,By Ben Brantley,"[{'firstname': 'Ben', 'middlename': None, 'lastname': 'Brantley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"EVEN with all those radical interpretive variations of ""Richard III"" for modern times, one of Shakespeare's most overexposed villains has suffered no categorical alteration. The ""poisonous bunch-back'd toad"" -- in the guise of Denzel Washington or Ian McKellen, Al Pacino or Richard Thomas -- has remained the instigator of a tragical or historical play. Or, to follow Polonius-like couplings, tragical-historical or historical-tragical.         Not so at the New Jersey Shakespeare Festival. Put aside the genealogical and chronological tables. And the maps, if you will. No need to perceive Richard III as the next part of the English cycle that begins with ""King Henry VI, Parts 1,  2 and 3."" Nor does the festival's stark, austere staging treat the play as a tragedy. The play may be inherently tragic in its grasp of the destructive force of human nature, but it is not a tragic drama about involving human beings.   ",https://www.nytimes.com/1996/07/21/nyregion/theater-review-delving-into-the-dementia-of-richard-iii.html,,"EVEN with all those radical interpretive variations of ""Richard III"" for modern times, one of Shakespeare's most overexposed villains has suffered no categorical alteration. The ""poisonous bunch-back'd toad"" -- in the guise of Denzel Washington or Ian McKellen, Al Pacino or Richard Thomas -- has remained the instigator of a tragical or historical play. Or, to follow Polonius-like couplings, tragical-historical or historical-tragical.",NJ,13,The New York Times,[],"[{'name': 'organizations', 'value': 'New Jersey Shakespeare Festival', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Shakespeare, William', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Richard III (Play)', 'rank': 5, 'major': 'N'}]",1996-07-21T05:00:00+0000,article,New Jersey Weekly Desk,New York,Review,nyt://article/4af7f04e-b0c3-5e02-a219-3011f7277fd6,732,nyt://article/4af7f04e-b0c3-5e02-a219-3011f7277fd6,THEATER REVIEW;Delving Into the Dementia of Richard III,THEATER REVIEW,,THEATER REVIEW;Delving Into the Dementia of Richard III,,,,By Alvin Klein,"[{'firstname': 'Alvin', 'middlename': None, 'lastname': 'Klein', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"The Christian Health Care Center in Wyckoff plans to open a nursing unit to serve a long-neglected population: elderly people with behavior problems that are disruptive, but not severe enough to require placement in a psychiatric hospital.         If the State Department of Health approves, the center will open a 32-bed unit for residents of Bergen and Hudson counties. The center hopes to serve patients with Alzheimer's disease, dementia and other ailments that cause behavior that nursing homes cannot handle.   ",https://www.nytimes.com/1996/05/12/nyregion/in-briefs-home-planned-for-elderly-with-behavior-problems.html,,"The Christian Health Care Center in Wyckoff plans to open a nursing unit to serve a long-neglected population: elderly people with behavior problems that are disruptive, but not severe enough to require placement in a psychiatric hospital.",NJ,13,The New York Times,[],"[{'name': 'glocations', 'value': 'Wyckoff (NJ)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}]",1996-05-12T05:00:00+0000,article,New Jersey Weekly Desk,New York,News,nyt://article/b116c9f8-9ae7-5404-8404-e1cbde788d86,166,nyt://article/b116c9f8-9ae7-5404-8404-e1cbde788d86,IN BRIEFS;Home Planned for Elderly With Behavior Problems,IN BRIEFS,,IN BRIEFS;Home Planned for Elderly With Behavior Problems,,,,By Abby Goodnough,"[{'firstname': 'Abby', 'middlename': None, 'lastname': 'Goodnough', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"New Hebrew Hospital Home of Westchester, now under construction in Greenburgh, will offer residents maximum freedom of movement within sheltered grounds; drawing (S)s",https://www.nytimes.com/1996/12/22/realestate/new-nursing-home-rising-in-westchester.html,"New Hebrew Hospital Home of Westchester, now under construction in Greenburgh, will offer residents maximum freedom of movement within sheltered grounds; drawing (S)s",Residents with Alzheimer's dementia will have the freedom of walking safely around their own landscaped garden when the new two-story Hebrew Hospital Home of Westchester is completed on a 30-acre site along Grasslands Road in the Town of Greenburgh by the summer of 1998.,9,1,The New York Times,[],"[{'name': 'glocations', 'value': 'Westchester County (NY)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Hebrew Hospital Home of Westchester', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}]",1996-12-22T05:00:00+0000,article,Real Estate Desk,Real Estate,News,nyt://article/492891bb-5d68-5142-8bbe-13a79987da32,306,nyt://article/492891bb-5d68-5142-8bbe-13a79987da32,New Nursing Home Rising in Westchester,POSTINGS: Hebrew Hospital Home in Greenburgh to Include 40-Bed Alzheimer's Unit,,New Nursing Home Rising in Westchester,,,,,[],,dementia,
"Dr Sydney Archer, research professor of chemistry and former Rensselaer Polytechnic Institute dean, dies at age 79 (S)",https://www.nytimes.com/1996/09/01/nyregion/sydney-archer-79-developer-of-medicinal-drugs.html,"Dr Sydney Archer, research professor of chemistry and former Rensselaer Polytechnic Institute dean, dies at age 79 (S)","Sydney Archer, a research professor of chemistry and former dean at Rensselaer Polytechnic Institute who developed medicinal drugs against an array of diseases, died on Aug. 22 at Albany Medical Center. He was 79 and lived in Delmar, N.Y.",1,46,The New York Times,[],"[{'name': 'persons', 'value': 'Archer, Sydney', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'DEATHS', 'rank': 3, 'major': 'N'}]",1996-09-01T05:00:00+0000,article,Metropolitan Desk,New York,Obituary; Biography,nyt://article/d84ddccd-2a1f-5b3b-aad9-bfee123704b3,336,nyt://article/d84ddccd-2a1f-5b3b-aad9-bfee123704b3,"Sydney Archer, 79, Developer of Medicinal Drugs",,,"Sydney Archer, 79, Developer of Medicinal Drugs",,,,By Wolfgang Saxon,"[{'firstname': 'Wolfgang', 'middlename': None, 'lastname': 'Saxon', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"AS the number of patients with Alzheimer's disease continues to climb, researchers are studying the possibility that a common and already approved drug, estrogen, may help to prevent or delay it, and even reverse some of its symptoms.         Though far from conclusive, the evidence so far is highly suggestive. The evidence, derived from experimental animals and from women after menopause taking estrogen supplements, has prompted two major studies to assess the effectiveness of estrogen replacement in currently healthy older women and in those in the early stages of the disease.   ",https://www.nytimes.com/1996/07/31/us/tantalizing-data-suggest-estrogen-may-prevent-or-delay-alzheimer-s.html,,"AS the number of patients with Alzheimer's disease continues to climb, researchers are studying the possibility that a common and already approved drug, estrogen, may help to prevent or delay it, and even reverse some of its symptoms.",C,7,The New York Times,[],"[{'name': 'subject', 'value': 'Estrogen', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Hormones', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Testosterone', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Men', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Women', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Menopause', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 8, 'major': 'N'}]",1996-07-31T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/2571a13d-a20e-5d60-ba76-33feb2326f09,884,nyt://article/2571a13d-a20e-5d60-ba76-33feb2326f09,Tantalizing Data Suggest Estrogen May Prevent or Delay Alzheimer's,,,Tantalizing Data Suggest Estrogen May Prevent or Delay Alzheimer's,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"United States agencies win 12 of 24 awards at Grand Global Awards competition for health care communications, sponsored by New York Festivals (S)",https://www.nytimes.com/1996/10/10/business/us-agencies-lead-health-care-awards.html,"United States agencies win 12 of 24 awards at Grand Global Awards competition for health care communications, sponsored by New York Festivals (S)","Four agencies have taken top honors at the third annual Grand Global Awards competition for health care communications, sponsored by the New York Festivals.",D,7,The New York Times,[],"[{'name': 'organizations', 'value': 'New York Festivals', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'ADVERTISING', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Awards, Decorations and Honors', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'ADVERTISING (TIMES COLUMN)', 'rank': 5, 'major': 'N'}]",1996-10-10T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/f06ed406-a0d6-5716-bf7f-33017ac3fd1b,129,nyt://article/f06ed406-a0d6-5716-bf7f-33017ac3fd1b,U.S. Agencies Lead Health Care Awards,THE MEDIA BUSINESS: ADVERTISING -- ADDENDA,,U.S. Agencies Lead Health Care Awards,,,,By Tamar Charry,"[{'firstname': 'Tamar', 'middlename': None, 'lastname': 'Charry', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"    BLUE HEAVEN By Elaine Kagan. Knopf, $24.   ",https://www.nytimes.com/1996/05/19/books/books-in-brief-fiction-056863.html,,"BLUE HEAVEN By Elaine Kagan. Knopf, $24.",7,24,The New York Times,[],"[{'name': 'persons', 'value': 'Kagan, Elaine', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'BLUE HEAVEN (BOOK)', 'rank': 4, 'major': 'N'}]",1996-05-19T05:00:00+0000,article,Book Review Desk,Books,Review,nyt://article/b5894658-0b4b-58bb-91bd-ef7b1032b240,222,nyt://article/b5894658-0b4b-58bb-91bd-ef7b1032b240,Books in Brief: FICTION,,,Books in Brief: FICTION,,,,By Catherine Park,"[{'firstname': 'Catherine', 'middlename': None, 'lastname': 'Park', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
"Scientists from National Institutes of Health and California Institute of Technology report that new test of spinal fluid can detect Creutzfeldt-Jakob disease, fatal, transmissible disorder of human nervous system (M)",https://www.nytimes.com/1996/09/26/us/laboratory-test-devised-detect-brain-illness-it-may-work-for-mad-cow-disease.html,"Scientists from National Institutes of Health and California Institute of Technology report that new test of spinal fluid can detect Creutzfeldt-Jakob disease, fatal, transmissible disorder of human nervous system (M)","A new test of spinal fluid can detect Creutzfeldt-Jakob disease, a fatal, transmissible disorder of the human nervous system, scientists from the National Institutes of Health and the California Institute of Technology are reporting today. The test has also found related diseases in experimental animals and is being studied to determine whether it can indicate ''mad-cow disease,'' which has led to the slaughter of more than 170,000 cattle in England.",B,16,The New York Times,[],"[{'name': 'organizations', 'value': 'California Institute of Technology', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'National Institutes of Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Creutzfeldt-Jakob Disease', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}]",1996-09-26T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/e941fb3a-7757-5a55-b32a-871c26b2e662,1017,nyt://article/e941fb3a-7757-5a55-b32a-871c26b2e662,"Laboratory Test Devised to Detect Brain Illness, and It May Work for Mad-Cow Disease",,,"Laboratory Test Devised to Detect Brain Illness, and It May Work for Mad-Cow Disease",,,,,[],,dementia,
"The Securities and Exchange Commission is close to an agreement to settle Federal charges against two former top officials of Orange County, Calif., stemming from the county's bankruptcy.         Discussions are in the final stages that would most likely result in the two  officials, former Treasurer Robert L. Citron and former Assistant Treasurer Matthew R. Raabe, signing a consent decree in which they do not admit any wrongdoing but promise not to violate Federal securities laws in the future.   ",https://www.nytimes.com/1996/01/17/business/sec-close-to-a-settlement-with-2-orange-county-aides.html,,"The Securities and Exchange Commission is close to an agreement to settle Federal charges against two former top officials of Orange County, Calif., stemming from the county's bankruptcy.",D,3,The New York Times,[],"[{'name': 'glocations', 'value': 'Orange County (Calif)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Securities and Exchange Commission', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Citron, Robert L', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Raabe, Matthew R', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Securities and Commodities Violations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Bankruptcies', 'rank': 6, 'major': 'N'}]",1996-01-17T05:00:00+0000,article,Business/Financial Desk,Business Day,News,nyt://article/c504558a-8ee9-50d8-9b12-b89d4a7439b0,415,nyt://article/c504558a-8ee9-50d8-9b12-b89d4a7439b0,S.E.C. Close to a Settlement With 2 Orange County Aides,,,S.E.C. Close to a Settlement With 2 Orange County Aides,,,,By Leslie Wayne,"[{'firstname': 'Leslie', 'middlename': None, 'lastname': 'Wayne', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia,
