abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name,query_consulta
"Study of brains of elderly drivers killed in automobile accidents in Sweden and Finland has found that unusually high percentage, as many as half, showed signs of early Alzheimer's disease; scientists say condition had not been diagnosed before their deaths, suggesting that even in its preliminary stages, Alzheimer's can cause enough mental impairment to make driving dangerous (M)",https://www.nytimes.com/1997/04/18/us/nordic-study-links-dementia-to-drivers-in-fatal-crashes.html,"Study of brains of elderly drivers killed in automobile accidents in Sweden and Finland has found that unusually high percentage, as many as half, showed signs of early Alzheimer's disease; scientists say condition had not been diagnosed before th...","A study of the brains of elderly drivers killed in automobile accidents in Sweden and Finland has found that an unusually high percentage, as many as half, showed signs of early Alzheimer's disease, researchers said today. But the condition had not been diagnosed before their deaths, which led the scientists to suggest that even in its preliminary stages, Alzheimer's can cause enough mental impairment to make driving dangerous.",A,17,The New York Times,[],"[{'name': 'glocations', 'value': 'Sweden', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Finland', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}]",1997-04-18T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/994de22d-aa31-573d-9002-08ae24345791,861,nyt://article/994de22d-aa31-573d-9002-08ae24345791,Nordic Study Links Dementia To Drivers in Fatal Crashes,,,Nordic Study Links Dementia To Drivers in Fatal Crashes,,,,By Denise Grady,"[{'firstname': 'Denise', 'middlename': None, 'lastname': 'Grady', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,dementia
Q&A column about amyotrophic lateral sclerosis; drawing (S),https://www.nytimes.com/1997/04/22/science/q-a-723304.html,Q&A column about amyotrophic lateral sclerosis; drawing (S),Mysterious Ailment,C,5,The New York Times,[],[],1997-04-22T05:00:00+0000,article,Science Desk,Science,Question,nyt://article/a5195207-40df-561d-811f-ec784fe7e192,370,nyt://article/a5195207-40df-561d-811f-ec784fe7e192,Q&A,Q&A,,Q&A,,,,By C. Claiborne Ray,"[{'firstname': 'C.', 'middlename': 'Claiborne', 'lastname': 'Ray', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,dementia
"Federal mental health specialists issue report that finds Vincent Gigante, recently convicted of crimes as Mafia boss, to be possibly suffering from dementia, but also to have shown them signs of faking symptoms of mental illness (M)",https://www.nytimes.com/1997/09/19/nyregion/federal-doctors-report-appears-to-say-gigante-may-be-mentally-ill.html,"Federal mental health specialists issue report that finds Vincent Gigante, recently convicted of crimes as Mafia boss, to be possibly suffering from dementia, but also to have shown them signs of faking symptoms of mental illness (M)","In a report that his lawyer said seemed schizophrenic, Vincent Gigante, recently convicted of crimes as a Mafia boss, was said by Government mental-health experts to be possibly suffering from dementia, but also to have shown them signs of faking symptoms of mental illness.",B,3,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Gigante, Vincent', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Crime', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Racketeering and Racketeers', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 6, 'major': 'N'}]",1997-09-19T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/fb6dd734-e1c9-5105-8773-40efd72585c5,530,nyt://article/fb6dd734-e1c9-5105-8773-40efd72585c5,Federal Doctors' Report Appears to Say Gigante May Be Mentally Ill,,,Federal Doctors' Report Appears to Say Gigante May Be Mentally Ill,,,,By Joseph P. Fried,"[{'firstname': 'Joseph', 'middlename': 'P.', 'lastname': 'Fried', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,dementia
"Researchers say needed clinical studies of role taking estrogen after menopause can play in preventing, delaying and perhaps treating Alzheimer's disease may never be completed because so many women are already convinced of benefits that they are unwilling to take part in studies that might place them on placebos for years; have been able to recruit only 1,500 women over 70 years old for study intended to follow 5,000 women for eight years (M)",https://www.nytimes.com/1997/03/05/us/alzheimer-studies-thwarted.html,"Researchers say needed clinical studies of role taking estrogen after menopause can play in preventing, delaying and perhaps treating Alzheimer's disease may never be completed because so many women are already convinced of benefits that they are ...","EVIDENCE that taking estrogen after menopause may prevent or delay and perhaps even treat Alzheimer's disease is increasingly compelling. But it is hardly conclusive, and the precise role that estrogen may play in curbing this devastating brain disease remains uncertain.",C,10,The New York Times,[],"[{'name': 'subject', 'value': 'Estrogen', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Women', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Menopause', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'HEALTH PAGE (NYT)', 'rank': 7, 'major': 'N'}]",1997-03-05T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/8adc34af-9876-5a00-9aee-8dcea09513f4,1169,nyt://article/8adc34af-9876-5a00-9aee-8dcea09513f4,Alzheimer Studies Thwarted,,,Alzheimer Studies Thwarted,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,dementia
Lawyers for Vincent Gigante begin last-ditch attempt to convince Federal District Judge Jack B Weinstein that suspected mob boss is mentally unfit to stand trial; assert that new tests show that Gigante is suffering from dementia; Dr Monte S Buchsbaum of Mount Sinai School of Medicine and Dr Wilfred G van Gorp of Cornell University Medical College testify that they had supervised and analyzed recent testing (M),https://www.nytimes.com/1997/06/03/nyregion/trying-again-gigante-team-offers-case-for-incompetency.html,Lawyers for Vincent Gigante begin last-ditch attempt to convince Federal District Judge Jack B Weinstein that suspected mob boss is mentally unfit to stand trial; assert that new tests show that Gigante is suffering from dementia; Dr Monte S Buchs...,A Mafia murder case became a medical school seminar yesterday as lawyers for Vincent Gigante began a last-ditch attempt to convince a judge that the suspected mob boss is mentally unfit to stand trial.,B,3,The New York Times,[],"[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Buchsbaum, Monte S', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Gigante, Vincent', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'van Gorp, Wilfred G', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Weinstein, Jack B', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Crime', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 9, 'major': 'N'}]",1997-06-03T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/e959ad5b-3ede-5df6-b104-6de3b757b3c3,466,nyt://article/e959ad5b-3ede-5df6-b104-6de3b757b3c3,"Trying Again, Gigante Team Offers Case for Incompetency",,,"Trying Again, Gigante Team Offers Case for Incompetency",,,,By Joseph P. Fried,"[{'firstname': 'Joseph', 'middlename': 'P.', 'lastname': 'Fried', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,dementia
"HECKLER-David. December 1, 1997. Beloved husband of Marion and the late Annabelle. Loving father of Henry and Charles. Dear brother of Max. Devoted step father of Leslie and Gary Granoff, JoAnn and David Small and Ellen and James Franco. Adoring grandfather of Annabelle and Paul Heckler, Stephen, Robert and Joshua Granoff, Jonathan and Sarah Small and Benjamin and Matthew Franco. Service Wednesday 10:30 A.M., at ''The Riverside'', 76 Street and Amsterdam Avenue. Contributions in his memory to: Aging Dementia Research Center, C/O NYU Medical Center, NYC.    HECKLER-David. Congregation Emanu-El of the City of New York records with deep sorrow the death of our cherished member, David Heckler. To his family and loved ones we express our profound sympathy. May beautiful memory bring comfort to those who mourn his passing. David E. Marrus, President Herbert C. Bernard, Secretary    HECKLER-David. The friends and neighbors of Harbour House wish to acknowledge the passing of our dear friend David. He will be sorely missed. Our sympathies to Marion and the family. Harbour House",https://www.nytimes.com/1997/12/03/classified/paid-notice-deaths-heckler-david.html,,"HECKLER-David. December 1, 1997. Beloved husband of Marion and the late Annabelle. Loving father of Henry and Charles. Dear brother of Max. Devoted step father of Leslie and Gary Granoff, JoAnn and David Small and Ellen and James Franco. Adoring grandfather of Annabelle and Paul Heckler, Stephen, Robert and Joshua Granoff, Jonathan and Sarah Small and Benjamin and Matthew Franco. Service Wednesday 10:30 A.M., at ''The Riverside'', 76 Street and Amsterdam Avenue. Contributions in his memory to: Aging Dementia Research Center, C/O NYU Medical Center, NYC.",D,20,The New York Times,[],"[{'name': 'persons', 'value': 'Heckler, David', 'rank': 1, 'major': 'N'}]",1997-12-03T05:00:00+0000,article,Classified,Archives,Paid Death Notice,nyt://article/334f5c11-c25c-5aca-b1ed-09260c6b031e,167,nyt://article/334f5c11-c25c-5aca-b1ed-09260c6b031e,"Paid Notice: Deaths  HECKLER, DAVID",,,"Paid Notice: Deaths  HECKLER, DAVID",,,,,[],,,dementia
"Excerpts of conversation with Dr George Bouklas, psychological consultant for nursing home patients on Long Island and author of book Psycotherapy With the Elderly...Becoming Methuselah's Echo; photo (M) Island and author of Psychotherapy With the Elderly...Becoming Methuselah's Echo; photo (M)",https://www.nytimes.com/1997/09/21/nyregion/long-island-qa-george-bouklas-can-psychotherapy-benefit-the-elderly.html,"Excerpts of conversation with Dr George Bouklas, psychological consultant for nursing home patients on Long Island and author of book Psycotherapy With the Elderly...Becoming Methuselah's Echo; photo (M) Island and author of Psychotherapy With the...","GEORGE BOUKLAS'S first career was spent working as a teacher and principal on Long Island, in New York City and in Dutchess County, for children with special needs. He has spent the last 20 years with the elderly, first as a troubleshooter in nursing homes and currently as a psychological consultant for patients in their 60's in several Long Island nursing homes. ",13LI,2,The New York Times,[],"[{'name': 'persons', 'value': 'Bouklas, George (Dr)', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Hochman, Nancy K S', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Psychology and Psychologists', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': ""Psychotherapy With the Elderly...Becoming Methuselah's Echo (Book"", 'rank': 6, 'major': 'N'}]",1997-09-21T05:00:00+0000,article,Long Island Weekly Desk,New York,Interview,nyt://article/600d721a-9ac5-57dc-9b45-b1d996177a05,1839,nyt://article/600d721a-9ac5-57dc-9b45-b1d996177a05,Long Island Q&A;: George Bouklas; Can Psychotherapy Benefit the Elderly?,,,Long Island Q&A;: George Bouklas; Can Psychotherapy Benefit the Elderly?,,,,By Nancy K. S. Hochman,"[{'firstname': 'Nancy', 'middlename': 'K.', 'lastname': 'S', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Long Island,dementia
"Museum of Modern Art will exhibit works of Willem de Kooning executed while artist was in advanced stages of Alzheimer's disease; pictures have been panned by some critics, but many artists have done memorable work with handicaps (S)",https://www.nytimes.com/1997/01/19/magazine/is-it-art.html,"Museum of Modern Art will exhibit works of Willem de Kooning executed while artist was in advanced stages of Alzheimer's disease; pictures have been panned by some critics, but many artists have done memorable work with handicaps (S)","1. This week the Museum of Modern Art opens ''Willem de Kooning: The Late Paintings, the 1980's,'' work executed while the artist was in the advanced stages of what is believed to be Alzheimer's disease. 2. The pictures were panned in San Francisco; one critic said they consist of ''big loopy ga-ga strokes.'' 3. Maybe so, but plenty of artists have done just fine with handicaps. Monet painted the water lily series at a time when cataracts and eye surgery affected his vision. 4. 'Style,' neurologically, is the deepest part of one's being,'' Oliver Sacks has written, ''and may be preserved, almost to the last, in a dementia.'' 5. Now 92, de Kooning is under round-the-clock supervision at his Long Island home. Visitors say he no longer recognizes anyone and seldom speaks.",6,12,The New York Times,[],"[{'name': 'organizations', 'value': 'Museum of Modern Art', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'de Kooning, Willem', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Art', 'rank': 4, 'major': 'N'}]",1997-01-19T05:00:00+0000,article,Magazine Desk,Magazine,News,nyt://article/00baedaf-2a50-534f-aa58-9a3f673fbf12,132,nyt://article/00baedaf-2a50-534f-aa58-9a3f673fbf12,IS IT ART?,"Sunday, January 19, 1997",,IS IT ART?,,,,,[],,,dementia
"Mary Opal Wolanin, a nurse who did research on long-term care for the elderly, died on May 22 at Methodist Hospital in San Antonio. She was 86 and lived in San Antonio.    The cause was respiratory failure, said her brother, Calvin Borror of Wichita, Kan.  ",https://www.nytimes.com/1997/06/02/us/mary-wolanin-86-studied-care-for-elderly.html,,"Mary Opal Wolanin, a nurse who did research on long-term care for the elderly, died on May 22 at Methodist Hospital in San Antonio. She was 86 and lived in San Antonio.",B,13,The New York Times,[],[],1997-06-02T05:00:00+0000,article,National Desk,U.S.,Obituary; Biography,nyt://article/785776f2-3e3c-5530-bb2b-e591031d2451,210,nyt://article/785776f2-3e3c-5530-bb2b-e591031d2451,"Mary Wolanin, 86; Studied Care for Elderly",,,"Mary Wolanin, 86; Studied Care for Elderly",,,,,[],,,dementia
Judge Jack B Weinstein rules that Mafia boss Vincent Gigante is mentally fit to be jailed on murder-conspiracy and racketeering conviction; photo (S),https://www.nytimes.com/1997/12/09/nyregion/metro-news-briefs-new-york-federal-judge-once-more-rules-gigante-competent.html,Judge Jack B Weinstein rules that Mafia boss Vincent Gigante is mentally fit to be jailed on murder-conspiracy and racketeering conviction; photo (S),"A Federal judge ruled yesterday that Vincent Gigante, the Mafia boss, was mentally fit to be sentenced to prison for his conviction on murder-conspiracy and racketeering charges.",B,2,The New York Times,[],"[{'name': 'persons', 'value': 'Gigante, Vincent', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Weinstein, Jack B', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Murders and Attempted Murders', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'CONSPIRACY, CRIMINAL', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Crime', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Racketeering and Racketeers', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Sentences (Criminal)', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 9, 'major': 'N'}]",1997-12-09T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/cfe592c7-f0e0-5135-8bd0-9962e0501ff3,203,nyt://article/cfe592c7-f0e0-5135-8bd0-9962e0501ff3,Federal Judge Once More Rules Gigante Competent,METRO NEWS BRIEFS: NEW YORK,,METRO NEWS BRIEFS: NEW YORK; Federal Judge Once More Rules Gigante Competent,,,,,[],,,dementia
