abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,slideshow_credits,subsection_name,query_consulta
Fritzie Hess is determined to help scientists understand Alzheimer's.  She lost her father to it and cares for a sister who has advanced dementia.,https://www.nytimes.com/video/health/1194817106283/alzheimer-s-quest-for-understanding.html,Fritzie Hess is determined to help scientists understand Alzheimer's.  She lost her father to it and cares for a sister who has advanced dementia.,Fritzie Hess is determined to help scientists understand Alzheimer's.  She lost her father to it and cares for a sister who has advanced dementia.,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.190x126.fr.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/12/19/health/2350_a2_wg_alzPIB.190x126.fr.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'videoThumb', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.75x50.fr.jpg', 'height': 50, 'width': 75, 'legacy': {}, 'subType': 'videoThumb', 'crop_name': 'videoThumb'}, {'rank': 0, 'subtype': 'videoSmall', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.312x176.fr.jpg', 'height': 176, 'width': 312, 'legacy': {}, 'subType': 'videoSmall', 'crop_name': 'videoSmall'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/12/19/health/2350_a2_wg_alzPIB.75x75.fr.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/12/19/health/2350_a2_wg_alzPIB.75x75.fr.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Alzheimer''s Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 4, 'major': 'N'}]",2007-12-20T01:00:49+0000,multimedia,,Health,Video,nyt://video/8b0a5b7a-6cfe-58bd-a6a5-621f4686dbe0,0,nyt://video/8b0a5b7a-6cfe-58bd-a6a5-621f4686dbe0,Alzheimer’s: Quest for Understanding,,,,,,,Sean Patrick Farrell,"[{'firstname': 'Sean', 'middlename': 'Patrick', 'lastname': 'Farrell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"Women whose ovaries are removed before menopause may be at increased risk for dementia, a new study reports.",https://www.nytimes.com/2007/09/04/health/04patt.html,"Women whose ovaries are removed before menopause may be at increased risk for dementia, a new study reports.","Women whose ovaries are removed before menopause may be at increased risk for dementia, a new study reports.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Ovaries', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Women', 'rank': 5, 'major': 'N'}]",2007-09-04T04:00:00+0000,article,Science,Health,News,nyt://article/58c61003-d07e-512b-a5b6-0bee31ece0de,203,nyt://article/58c61003-d07e-512b-a5b6-0bee31ece0de,Patterns: Ovary Removal May Raise the Risk of Dementia,Vital Signs,,Ovary Removal May Raise The Risk of Dementia,,,,By Nicholas Bakalar,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Bakalar', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,6,,,dementia
"Former players who have dementia do not qualify for the N.F.L.'s disability insurance program, because neither the league nor the union consider their conditions football-related.",https://www.nytimes.com/slideshow/2007/03/13/sports/20070314_WIVES_slideshow_index.html,"Former players who have dementia do not qualify for the N.F.L.'s disability insurance program, because neither the league nor the union consider their conditions football-related.","Former players who have dementia do not qualify for the N.F.L.'s disability insurance program, because neither the league nor the union consider their conditions football-related.",The New York Times,"[{'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/13/sports/14wives-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/03/13/sports/14wives-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/03/13/sports/14wives-190.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2007/03/13/sports/14wives-190.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}]",[],2007-03-13T11:41:00+0000,multimedia,Sports,Sports,Slideshow,nyt://slideshow/cc405456-7d32-55f9-abba-7722513d31d2,0,nyt://slideshow/cc405456-7d32-55f9-abba-7722513d31d2,Coping With Dementia,,,,,,,,[],,,,Brendan Smialowski for The New York Times,,dementia
Some studies suggest that obesity in middle age may be a risk factor for dementia and others show that weight loss precedes dementia’s onset.,https://www.nytimes.com/2007/08/28/health/28patt.html,Some studies suggest that obesity in middle age may be a risk factor for dementia and others show that weight loss precedes dementia’s onset.,"Weight loss may be associated with the onset of dementia in women, but not in men, a new study suggests.",The New York Times,[],"[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Weight', 'rank': 2, 'major': 'N'}]",2007-08-28T04:00:00+0000,article,Science,Health,News,nyt://article/14fe2835-f7c3-52f6-a5c9-d3b83926ce09,255,nyt://article/14fe2835-f7c3-52f6-a5c9-d3b83926ce09,Patterns: Examining Dementia and Weight Loss,Vital Signs,,Examining Dementia And Weight Loss,,,,By Nicholas Bakalar,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Bakalar', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,6,,,dementia
"Heartbreak can happen at 80, but probably without the rage against the dying of the light.",https://www.nytimes.com/2007/11/18/weekinreview/18zernike.html,"Heartbreak can happen at 80, but probably without the rage against the dying of the light.","SO this, in the end, is what love is.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/18/weekinreview/18zernike_CA0.450.jpg', 'height': 450, 'width': 386, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/18/weekinreview/18zernike_CA0.190.jpg', 'height': 222, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/18/weekinreview/18zernike_CA0.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/11/18/weekinreview/18zernike_CA0.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Pipher, Mary', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Munro, Alice', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Emotions', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Dating (Social)', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': ""O'Connor, Sandra Day"", 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 10, 'major': 'N'}]",2007-11-18T05:00:00+0000,article,WeekInReview,Week in Review,News,nyt://article/359ac5c5-8032-5e62-a2f4-3258cb83e3f6,1254,nyt://article/359ac5c5-8032-5e62-a2f4-3258cb83e3f6,Love in the Time of Dementia,Still Many-Splendored,,Love in the Time of Dementia,,,,By Kate Zernike,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Zernike', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,4,1,,,dementia
"For people with more years of schooling, a new study suggests that once the effects of dementia begin, they move more rapidly. ",https://www.nytimes.com/2007/11/06/health/research/06agin.html,"For people with more years of schooling, a new study suggests that once the effects of dementia begin, they move more rapidly. ","People with more years of schooling appear to suffer the symptoms of dementia later than others who have it — but once it does come, it proceeds more quickly, researchers say.",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/05/health/vitals.aging190.jpg', 'height': 172, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/11/05/health/vitals.aging75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/11/05/health/vitals.aging75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Education and Schools', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2007-11-06T05:00:00+0000,article,Science,Health,News,nyt://article/820d33e3-9b4f-55e1-b539-7e11359f4942,205,nyt://article/820d33e3-9b4f-55e1-b539-7e11359f4942,Aging: Flip Side to Education Is Seen in Dementia,Vital Signs,,Flip Side to Education Is Seen in Dementia,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,F,6,,Research,dementia
"A regular stroll helps keep the mind sharp, a new study shows.",https://well.blogs.nytimes.com/2007/12/20/walking-may-lower-dementia-risk/,"A regular stroll helps keep the mind sharp, a new study shows.","For people in their 60s, regular walking appears to lower the risk of dementia.",The New York Times,[],[],2007-12-20T20:52:05+0000,article,Science,Health,News,nyt://article/f33ccc93-7eb3-5ace-9999-6acd8c847057,298,nyt://article/f33ccc93-7eb3-5ace-9999-6acd8c847057,Walking May Lower Dementia Risk,Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
Dr. Berg helped design a leading test used to assess social functioning in patients with Alzheimer’s disease and other forms of dementia.,https://www.nytimes.com/2007/02/12/us/12berg.html,Dr. Berg helped design a leading test used to assess social functioning in patients with Alzheimer’s disease and other forms of dementia.,"Dr. Leonard Berg, a neurologist and top medical administrator at Washington University in St. Louis who helped design a leading test used to assess social functioning in patients with Alzheimer’s disease and other forms of dementia, died on Jan. 15 in that city. He was 79.",The New York Times,[],"[{'name': 'subject', 'value': 'AGED', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Berg, Leonard', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2007-02-12T05:00:00+0000,article,National,U.S.,Obituary (Obit),nyt://article/63abd74f-a559-5ab2-8981-40afe2d6e54a,454,nyt://article/63abd74f-a559-5ab2-8981-40afe2d6e54a,"Leonard Berg, 79, Neurologist Who Specialized in Dementia, Dies",,,"Leonard Berg, 79, Neurologist Who Specialized in Dementia",,,,By Jeremy Pearce,"[{'firstname': 'Jeremy', 'middlename': None, 'lastname': 'Pearce', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,7,,,dementia
Dr. Marcelle Morrison-Bogorad on the genetic underpinnings of Alzheimer's.,https://www.nytimes.com/ref/health/healthguide/esn-alzheimers-qa.html,Dr. Marcelle Morrison-Bogorad on the genetic underpinnings of Alzheimer's.,"Dr. Marcelle Morrison-Bogorad is director of the neuroscience and neuropsychology of aging program at the National Institute on Aging. In collaboration with the Alzheimer's Association, the institute runs the Alzheimer's Disease Genetics Initiative, which is collecting and banking genetic and cellular material from families in which multiple relatives have late-onset Alzheimer's, the most common form of the disease.",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/08/24/health/_vertical03.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/08/24/health/alzh.expert75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/08/24/health/alzh.expert75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",2007-08-29T04:00:00+0000,article,Science,Health,Question,nyt://article/43f8065f-0ecd-51dc-8095-2f659d1a4569,1443,nyt://article/43f8065f-0ecd-51dc-8095-2f659d1a4569,Tracing the Path from DNA to Dementia,Expert Q & A,,Tracing the Path from DNA to Dementia,,,,By IRENE M. WIELAWSKI,"[{'firstname': 'Irene', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Health Guide,dementia
"ANNAPOLIS, Maryland — The night that Sylvia Mackey and Dr. Eleanor Perfetto met, back in October at a Baltimore Ravens reception for former National Football League players, their connection was immediate. As she sat on a couch with her husband, Mackey watched Perfetto cradle the hand of her husband as he blankly shuffled across the floor toward the Mackeys.",https://www.nytimes.com/2007/03/14/sports/14iht-DEMENTIA.4904573.html,,"ANNAPOLIS, Maryland — The night that Sylvia Mackey and Dr. Eleanor Perfetto met, back in October at a Baltimore Ravens reception for former National Football League players, their connection was immediate. As she sat on a couch with her husband, Mackey watched Perfetto cradle the hand of her husband as he blankly shuffled across the floor toward the Mackeys.",International Herald Tribune,[],[],2007-03-14T05:00:00+0000,article,IHT News,Sports,News,nyt://article/24ffbe18-b147-5c82-8ee9-e04bc48d64aa,1100,nyt://article/24ffbe18-b147-5c82-8ee9-e04bc48d64aa,Football: Wives also suffer as dementia sets in,,,Football: Wives also suffer as dementia sets in,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
