abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta
"Ginkgo biloba appears to do nothing to prevent dementia or Alzheimer’s disease, a new study says.",https://www.nytimes.com/2008/11/25/health/research/25nost.html,"Ginkgo biloba appears to do nothing to prevent dementia or Alzheimer’s disease, a new study says.","Ginkgo biloba, an herbal supplement widely used in the belief that it is good for memory and mental sharpness, appears to do nothing to prevent dementia or Alzheimer’s disease, a new study says.",D,6,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dietary Supplements and Herbal Remedies', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}]",2008-11-24T22:16:17+0000,article,Science,Health,Research,News,nyt://article/3e9df2d3-9583-50a3-87db-231d51a233b3,165,nyt://article/3e9df2d3-9583-50a3-87db-231d51a233b3,Nostrums: Ginkgo Biloba Found Not to Avert Dementia,Vital Signs,,Ginkgo Biloba Found Not to Avert Dementia,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
The wives of retired football players with dementia have been barred from N.F.L. meetings discussing later-life care for their husbands.,https://www.nytimes.com/2008/12/13/sports/football/13disability.html,The wives of retired football players with dementia have been barred from N.F.L. meetings discussing later-life care for their husbands.,"BETHESDA, Md.  As the wife of a former N.F.L. player with degenerative dementia, Eleanor Perfetto finds herself performing the most basic tasks for her husband, Ralph Wenzel: she feeds him, bathes him and tries to explain all that is happening to him.",D,4,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/13/sports/football/13disability.span.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2008/12/13/sports/football/13disability.span.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/13/sports/football/13disability.span.jpg', 'height': 350, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/13/sports/football/13disability.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/12/13/sports/football/13disability.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'National Football League', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Handicapped', 'rank': 4, 'major': 'N'}]",2008-12-13T03:29:35+0000,article,Sports,Sports,Pro Football,News,nyt://article/e7460e1f-3763-5c22-82b3-cf11d0e55188,874,nyt://article/e7460e1f-3763-5c22-82b3-cf11d0e55188,N.F.L. Meeting Irks Wives of Ill Retirees,,,N.F.L. Meeting Irks Wives of Ill Retirees,,,,By Alan Schwarz,"[{'firstname': 'Alan', 'middlename': None, 'lastname': 'Schwarz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"A significant number of Hispanics appear to be getting Alzheimer’s earlier, according to recent studies.",https://www.nytimes.com/2008/10/21/us/21alzheimers.html,"A significant number of Hispanics appear to be getting Alzheimer’s earlier, according to recent studies.",PHILADELPHIA  Antonio Vasquez was just 60 when Alzheimer’s disease derailed him. ,A,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-600.jpg', 'height': 330, 'width': 600, 'legacy': {'xlarge': 'images/2008/10/21/us/21alzheimers-600.jpg', 'xlargewidth': 600, 'xlargeheight': 330}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-600.jpg', 'height': 330, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-395.jpg', 'height': 266, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/10/21/us/21alzheimers-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/10/21/us/21alzheimers-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Hispanic-Americans', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}]",2008-10-21T02:54:32+0000,article,National,U.S.,,News,nyt://article/fe11ebf5-d9ae-5c58-9cd9-eee233c2aeef,1475,nyt://article/fe11ebf5-d9ae-5c58-9cd9-eee233c2aeef,"More Alzheimer’s Risk for Hispanics, Studies Find",,,"More Alzheimer’s Risk Factors For Hispanics, Studies Suggest",,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Alzheimer’s closed in on a wife early, grindingly taking over more than half of our years together.",https://www.nytimes.com/2008/09/16/health/views/16case.html,"Alzheimer’s closed in on a wife early, grindingly taking over more than half of our years together.","Pat’s nursing home, Chatsworth, is a short walk through a neighborhood park, past a gazebo, across player-worn soccer fields. On good-weather days I bike, hauling her laundry in a backpack; folding her clothes helps me feel normal.",F,6,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/15/health/16cases_450.jpg', 'height': 450, 'width': 381, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/15/health/16cases_190.jpg', 'height': 225, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/15/health/16cases_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/09/15/health/16cases_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Elderly', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Hospice Care', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 6, 'major': 'N'}]",2008-09-15T22:35:48+0000,article,Science,Health,Views,News,nyt://article/cfe6701f-6198-5ce2-8464-9a01fd278928,803,nyt://article/cfe6701f-6198-5ce2-8464-9a01fd278928,"In a Place of Dying, Slight Shadows of Life",Cases,,"In a Place of Dying, Slight Shadows of Life",,,,By Emerson Moran Jr,"[{'firstname': 'Emerson', 'middlename': None, 'lastname': 'Moran', 'qualifier': 'Jr', 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Former Prime Minister Margaret Thatcher has been suffering from dementia for at least the past eight years, according to a memoir published by her daughter.",https://www.nytimes.com/2008/08/26/world/europe/26britain.html,"Former Prime Minister Margaret Thatcher has been suffering from dementia for at least the past eight years, according to a memoir published by her daughter.","LONDON  Former Prime Minister Margaret Thatcher has been suffering from dementia for at least eight years and has often had to be reminded that her husband is dead, according to her daughter, Carol. ",A,6,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Thatcher, Margaret H', 'rank': 2, 'major': 'N'}]",2008-08-25T19:26:34+0000,article,Foreign,World,Europe,News,nyt://article/91466e8e-dda5-52a6-970c-4181982b1caf,474,nyt://article/91466e8e-dda5-52a6-970c-4181982b1caf,Britain’s Thatcher Has Dementia,,,Dementia Of Thatcher Is Recounted By Daughter,,,,By Sarah Lyall,"[{'firstname': 'Sarah', 'middlename': None, 'lastname': 'Lyall', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"For the first time, scientists have recorded individual brain cells fetching a spontaneous memory.",https://www.nytimes.com/2008/09/05/science/05brain.html,"For the first time, scientists have recorded individual brain cells fetching a spontaneous memory.","Scientists have for the first time recorded individual brain cells in the act of summoning a spontaneous memory, revealing not only where a remembered experience is registered but also, in part, how the brain is able to recreate it.",A,1,The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/05/science/braionsmall.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2008/09/05/science/braionsmall.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/05/science/brainlarge.jpg', 'height': 515, 'width': 450, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Epilepsy', 'rank': 4, 'major': 'N'}]",2008-09-04T19:54:13+0000,article,National,Science,,News,nyt://article/c4453c41-2efb-5a24-9c63-4d666dd98d23,921,nyt://article/c4453c41-2efb-5a24-9c63-4d666dd98d23,"For the Brain, Remembering Is Like Reliving",,,"For the Brain, Remembering Is Like Reliving",,,,By Benedict Carey,"[{'firstname': 'Benedict', 'middlename': None, 'lastname': 'Carey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"New research suggests that after age 90, women are more likely to have dementia than men who live to the same age.",https://www.nytimes.com/2008/07/29/health/research/29agin.html,"New research suggests that after age 90, women are more likely to have dementia than men who live to the same age.","Even though women tend to live longer than men, new research suggests that after age 90, they are more likely to have dementia than men who live to the same age. ",F,6,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Women', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 4, 'major': 'N'}]",2008-07-29T04:00:00+0000,article,Science,Health,Research,News,nyt://article/40c1bf5d-9610-5c79-8c8d-950f11bcf625,227,nyt://article/40c1bf5d-9610-5c79-8c8d-950f11bcf625,Aging: Women May Live Longer With Dementia,Vital Signs,,Women May Live Longer With Dementia,,,,By Bina Venkataraman,"[{'firstname': 'Bina', 'middlename': None, 'lastname': 'Venkataraman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"A woman who once thought that a nursing home meant a barren, paltry, isolated existence realized that for her mother, being there signified community.",https://www.nytimes.com/2008/08/17/nyregion/nyregionspecial2/17Rgen.html,"A woman who once thought that a nursing home meant a barren, paltry, isolated existence realized that for her mother, being there signified community.","FIVE years ago I promised my mother that I would never place her in a nursing home. “I couldn’t abide one of those places,” she had said. She was 78 at the time. At her younger brother’s urging, she had bought a long-term health care policy, and the possibility of not being able to live on her own had reared its head. Back then, my mother lived next door to me in Southampton. She was in good health, a vibrant dresser who liked to walk the half-mile into town when the weather was good. ",NJ,4,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/17/nyregion/17rgen.650.jpg', 'height': 511, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/17/nyregion/17rgen.190.jpg', 'height': 149, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/08/17/nyregion/17rgen.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/08/17/nyregion/17rgen.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 4, 'major': 'N'}]",2008-08-14T20:43:22+0000,article,Regionals,New York,N.Y. / Region,News,nyt://article/2570591b-a128-5d91-a706-638de7552f41,1121,nyt://article/2570591b-a128-5d91-a706-638de7552f41,"In an Unlikely Place, a Family Mom Never Imagined",Generations,,"In an Unlikely Place, a Family Mom Never Imagined",,,,By Gabrielle Selz,"[{'firstname': 'Gabrielle', 'middlename': None, 'lastname': 'Selz', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"The use of antipsychotic drugs to tamp down the agitation, combative behavior and outbursts of dementia patients has soared.",https://www.nytimes.com/2008/06/24/health/24deme.html,"The use of antipsychotic drugs to tamp down the agitation, combative behavior and outbursts of dementia patients has soared.","Ramona Lamascola thought she was losing her 88-year-old mother to dementia. Instead, she was losing her to overmedication.",F,1,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/23/health/24deme.1_600.jpg', 'height': 403, 'width': 600, 'legacy': {'xlarge': 'images/2008/06/23/health/24deme.1_600.jpg', 'xlargewidth': 600, 'xlargeheight': 403}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/23/health/24deme.1_600.jpg', 'height': 403, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/23/health/24deme.1_395.jpg', 'height': 265, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/06/23/health/24deme.1_75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/06/23/health/24deme.1_75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Sedatives', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 8, 'major': 'N'}]",2008-06-24T04:00:00+0000,article,Science,Health,,News,nyt://article/87eafea8-5726-57f6-84e6-d026e2cbaf8b,1420,nyt://article/87eafea8-5726-57f6-84e6-d026e2cbaf8b,Doctors Say Medication Is Overused in Dementia,,,Doctors Say Medication Is Overused In Dementia,,,,By Laurie Tarkan,"[{'firstname': 'Laurie', 'middlename': None, 'lastname': 'Tarkan', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Researchers who put brighter lights into nursing homes have found that residents with dementia appear to suffer fewer symptoms.,https://www.nytimes.com/2008/06/17/health/research/17agin.html,Researchers who put brighter lights into nursing homes have found that residents with dementia appear to suffer fewer symptoms.,Researchers who put brighter lights into nursing homes have found that residents with dementia appear to suffer fewer symptoms.,F,6,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AGED', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Nursing Homes', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Lighting', 'rank': 5, 'major': 'N'}]",2008-06-17T04:00:00+0000,article,Science,Health,Research,News,nyt://article/d62283a5-a108-59c9-9913-6a0cf5d06dce,207,nyt://article/d62283a5-a108-59c9-9913-6a0cf5d06dce,Aging: Cue the Lights and Help Dementia,Vital Signs,,AGING | Cue the Lights and Help Dementia,,,,By Eric Nagourney,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Nagourney', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
