abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,type_of_material,subsection_name,query_consulta
The government is funding research into techniques that may make caring for those with Alzheimer’s less burdensome.,https://newoldage.blogs.nytimes.com/2011/01/01/caregiving-and-dementia-new-ideas/,The government is funding research into techniques that may make caring for those with Alzheimer’s less burdensome.,The Times reports today on research into new ways to care for people with Alzheimer’s disease and other forms of dementia. ,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}]",2011-01-01T18:37:37+0000,article,,Health,nyt://article/feedb1fc-d8bb-5c4c-95d1-4255e82d0726,273,nyt://article/feedb1fc-d8bb-5c4c-95d1-4255e82d0726,Caregiving and Dementia: New Ideas,The New Old Age,,,,,,By The New York Times,[],The New York Times,,,,,dementia
South Korea struggles with rising numbers of citizens with Alzheimer’s disease.,https://newoldage.blogs.nytimes.com/2010/11/26/a-war-on-dementia/,South Korea struggles with rising numbers of citizens with Alzheimer’s disease.,"The Times reports this morning on efforts in South Korea, one of the fastest-aging nations, to grapple with an epidemic Alzheimer’s disease.",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 4, 'major': 'N'}]",2010-11-26T15:11:35+0000,article,,Health,nyt://article/c3cb6849-6a4a-565f-92d0-95f63878960d,163,nyt://article/c3cb6849-6a4a-565f-92d0-95f63878960d,A War on Dementia,The New Old Age,,,,,,By The New York Times,[],The New York Times,,,,,dementia
"A new word entered the Big Apple lexicon this week, and it’s not a happy one.",https://cityroom.blogs.nytimes.com/2010/12/30/in-a-word-for-third-a-shovelful-of-indignity/,"A new word entered the Big Apple lexicon this week, and it’s not a happy one.",This week has been an educational one in New York City.,The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bloomberg, Michael R', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Bloomberg LP', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'New York City', 'rank': 4, 'major': 'N'}]",2010-12-30T22:09:28+0000,article,,New York,nyt://article/743a6cb7-40bc-5e57-ac2d-be997fd7fea4,455,nyt://article/743a6cb7-40bc-5e57-ac2d-be997fd7fea4,"In a Word for Third, a Shovelful of Indignity",City Room,,,,,,By Andy Newman,"[{'firstname': 'Andy', 'middlename': None, 'lastname': 'Newman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"In his latest novel, Walter Mosley draws on lessons learned while coping with his mother’s dementia.",https://newoldage.blogs.nytimes.com/2010/12/29/the-caregivers-bookshelf-memorys-echo/,"In his latest novel, Walter Mosley draws on lessons learned while coping with his mother’s dementia.","Ptolemy Usher Grey, who’s 91 and living in confused isolation in Los Angeles, keeps radio and television news blaring all day long, partly to keep himself from drifting ever farther into the past, partly because he’s afraid that if he turns them off, he won’t remember how to turn them back on.",The New York Times,[],"[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",2010-12-29T13:00:12+0000,article,,Health,nyt://article/fb13887b-0d37-55a7-a56a-ab21efcb98a3,897,nyt://article/fb13887b-0d37-55a7-a56a-ab21efcb98a3,The Caregiver’s Bookshelf: Memory’s Echo,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"South Korea is training thousands, including children, as “dementia supporters,” to recognize symptoms and care for patients.",https://www.nytimes.com/2010/11/26/health/26alzheimers.html,"South Korea is training thousands, including children, as “dementia supporters,” to recognize symptoms and care for patients.","SEONGNAM, South Korea  They were stooped, hobbled, disoriented, fumbling around the house. They got confused in the bathtub and struggled up stairs that seemed to swim before them. ",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/11/26/global-home/26Alzheimers_stills/26Alzheimers_stills-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Memory', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 7, 'major': 'N'}]",2010-11-26T02:05:26+0000,article,Foreign,Health,nyt://article/63183f94-584b-5284-ad2f-8d704afd9077,2034,nyt://article/63183f94-584b-5284-ad2f-8d704afd9077,Children Ease Alzheimer’s in Land of Aging,Mind,,"In a Land of the Aging, Children Counter Alzheimer’s",,,,By Pam Belluck,"[{'firstname': 'Pam', 'middlename': None, 'lastname': 'Belluck', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,1,News,,dementia
A consortium of medical and financial organizations hopes that physicians will learn to identify elderly patients at risk for financial abuse.,https://newoldage.blogs.nytimes.com/2010/11/17/in-the-examination-room-an-effort-to-prevent-financial-abuse/,A consortium of medical and financial organizations hopes that physicians will learn to identify elderly patients at risk for financial abuse.,Can doctors and other medical professionals be trained to spot elderly patients who are at risk of being ripped off?,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Abuse', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'AMERICAN ACADEMY OF FAMILY PHYSICIANS', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Baylor College of Medicine', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'North American Securities Administrators Assn', 'rank': 9, 'major': 'N'}]",2010-11-17T20:41:45+0000,article,,Health,nyt://article/3eedb8ab-483e-5913-ba02-2fc62a7cc4b0,369,nyt://article/3eedb8ab-483e-5913-ba02-2fc62a7cc4b0,"In the Examination Room, an Effort to Prevent Financial Abuse",The New Old Age,,,,,,By DIANA B. HENRIQUES,"[{'firstname': 'Diana', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"Those middle-aged smokers who use two packs a day have twice the risk, according to a study of 23,123 health plan members.",https://www.nytimes.com/2010/11/02/health/research/02risks.html,"Those middle-aged smokers who use two packs a day have twice the risk, according to a study of 23,123 health plan members.","Middle-aged smokers are far more likely than nonsmokers to develop dementia later in life, and heavy smokers  those who go through more than two packs a day  are at more than double the risk, a new study reports.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Smoking and Tobacco', 'rank': 3, 'major': 'N'}]",2010-10-29T19:48:59+0000,article,Science,Health,nyt://article/8fbe0765-3d59-586f-8c04-c112d15a3d80,221,nyt://article/8fbe0765-3d59-586f-8c04-c112d15a3d80,Risks: Smokers Found More Prone to Dementia,Vital Signs,,RISKS: Smokers Found More Prone to Dementia,,,,By Roni Caryn Rabin,"[{'firstname': 'Roni', 'middlename': 'Caryn', 'lastname': 'Rabin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,6,News,Research,dementia
"As a result of New York City’s efforts to streamline its system of delivering food to needy residents, some have fallen through the cracks.",https://www.nytimes.com/2010/11/06/nyregion/06meals.html,"As a result of New York City’s efforts to streamline its system of delivering food to needy residents, some have fallen through the cracks.",Dorothy Hinks may be enfeebled but she is proud.,The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/nyregion/MEALS1/MEALS1-jumbo.jpg', 'height': 682, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/nyregion/MEALS1/MEALS1-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/nyregion/MEALS1/MEALS1-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/nyregion/MEALS1/MEALS1-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/11/06/nyregion/MEALS1/MEALS1-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Barrios-Paoli, Lilliam', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Home Health Care', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Meals on Wheels', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Food', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'New York City', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Aging, Department for the (NYC)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Upper West Side (NYC)', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Delivery Services', 'rank': 13, 'major': 'N'}]",2010-11-06T02:14:32+0000,article,Metro,New York,nyt://article/092d98b5-92ed-58d4-a59a-abaa047b0ce4,1172,nyt://article/092d98b5-92ed-58d4-a59a-abaa047b0ce4,Elderly Are Cut From Meals Program,,,Elderly Are Cut From Meals Program,,,,By Cara Buckley,"[{'firstname': 'Cara', 'middlename': None, 'lastname': 'Buckley', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,21,News,,dementia
This week’s Your Money column discusses how to take on the role of financial guardian for people with Alzheimer’s and other forms of dementia.,https://bucks.blogs.nytimes.com/2010/11/05/planning-for-an-aging-parents-financial-needs/,This week’s Your Money column discusses how to take on the role of financial guardian for people with Alzheimer’s and other forms of dementia.,This week’s Your Money column discusses ways to help people with Alzheimer’s disease and other forms of dementia manage their money.,The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}]",2010-11-05T20:07:47+0000,article,,Your Money,nyt://article/f1973866-3962-5699-9ab7-3e5b96bf9a7c,265,nyt://article/f1973866-3962-5699-9ab7-3e5b96bf9a7c,Planning for an Aging Parent’s Financial Needs,Bucks,,,,,,By Tara Siegel Bernard,"[{'firstname': 'Tara', 'middlename': 'Siegel', 'lastname': 'Bernard', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,,dementia
"Children may have to handle mundane tasks like paying bills, or become immersed in a parent’s financial affairs.",https://www.nytimes.com/2010/11/06/your-money/06money.html,"Children may have to handle mundane tasks like paying bills, or become immersed in a parent’s financial affairs.","As my grandfather’s mind slipped away, first slowly, then quickly, as Alzheimer’s disease moved in, he tried to be reassuring. “I remember the important things,” he would tell us.",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/business/06money/06money-jumbo.jpg', 'height': 681, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/business/06money/06money-popup.jpg', 'height': 432, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/business/06money/06money-articleInline.jpg', 'height': 126, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/06/business/06money/06money-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}]","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Families and Family Life', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Personal Finances', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 5, 'major': 'N'}]",2010-11-05T19:43:17+0000,article,Business,Your Money,nyt://article/5a69e470-0f2e-5694-aa01-3eb7abd4db75,1368,nyt://article/5a69e470-0f2e-5694-aa01-3eb7abd4db75,Stepping In for a Parent With Alzheimer’s,Your Money,,Stepping In for a Parent When Alzheimer’s Sets In,,,,By Tara Siegel Bernard,"[{'firstname': 'Tara', 'middlename': 'Siegel', 'lastname': 'Bernard', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,1,News,,dementia
