abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,query_consulta,subsection_name
A Senate report highlights several trends related to care for people with Alzheimer’s disease in five countries.,https://newoldage.blogs.nytimes.com/2012/12/28/united-states-lags-in-alzheimers-support/,A Senate report highlights several trends related to care for people with Alzheimer’s disease in five countries.,"This month, the United States Senate Special Committee on Aging released a report examining how five nations — the United States, Australia, France, Japan and Britain — are responding to growing numbers of older adults with Alzheimer’s disease and dementia. ",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 6, 'major': 'N'}]",2012-12-28T11:42:14+0000,article,,Health,News,nyt://article/dc0cee42-4a9c-57b3-b858-ca8f0a2d2221,668,nyt://article/dc0cee42-4a9c-57b3-b858-ca8f0a2d2221,United States Lags in Alzheimer’s Support,The New Old Age,,,,,,By Judith Graham,"[{'firstname': 'Judith', 'middlename': None, 'lastname': 'Graham', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
One wife caring for another — another example of how the new old age is spawning unusual and creative alliances.,https://newoldage.blogs.nytimes.com/2012/12/21/the-ex-wives-club/,One wife caring for another — another example of how the new old age is spawning unusual and creative alliances.,"Weather permitting, Kappy Lundy and Barbara Thompson are heading out to Vancouver, Wash., on Saturday night to have a holiday dinner with the parents of their daughter’s husband.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Friendship', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Thompson, Barbara', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Oregon', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Vancouver (British Columbia)', 'rank': 7, 'major': 'N'}]",2012-12-21T21:03:08+0000,article,,Health,News,nyt://article/99a6f9e0-fce0-587d-96fe-d2fb19b92a4b,1100,nyt://article/99a6f9e0-fce0-587d-96fe-d2fb19b92a4b,The Ex-Wives Club,The New Old Age,,,,,,By Judith Graham,"[{'firstname': 'Judith', 'middlename': None, 'lastname': 'Graham', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"Degenerative relationships are not uncommon among the elderly in even the happiest marriages. Both mental and physical changes feed the discord, marriage therapists and geriatricians say.",https://newoldage.blogs.nytimes.com/2012/12/17/in-the-middle-why-elderly-couples-fight/,"Degenerative relationships are not uncommon among the elderly in even the happiest marriages. Both mental and physical changes feed the discord, marriage therapists and geriatricians say.","George and Gracie (let’s call them that because using their real names would make them even unhappier than they already appear to be) are in their 80s and have been married for more than 65 years. Until recently they seemed to ride the waves that are inevitable in any marriage that spans nearly seven decades; through good and bad, they were partners and best friends. ",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Marriages', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'New England Journal of Medicine', 'rank': 4, 'major': 'N'}]",2012-12-17T10:40:36+0000,article,,Health,News,nyt://article/278e1bf3-9223-597d-87d0-2ceeff259c21,1487,nyt://article/278e1bf3-9223-597d-87d0-2ceeff259c21,In the Middle: Why Elderly Couples Fight,The New Old Age,,,,,,By Susan Seliger,"[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Seliger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"Sidney Gilman, a top Alzheimer’s researcher, oversaw the trials for a drug developed by Wyeth and Elan that had the potential to help Alzheimer’s patients. Just days before publicly presenting disappointing results from the drug’s trial in 2008, Dr. Gilman provided the data to Mathew Martoma, a trader affiliated with SAC Capital, prosecutors say, allowing Mr. Martoma to sell the stock and avoid big losses.",https://www.nytimes.com/interactive/2012/12/15/business/Elan-stocks-rise-and-fall.html,"Sidney Gilman, a top Alzheimer’s researcher, oversaw the trials for a drug developed by Wyeth and Elan that had the potential to help Alzheimer’s patients. Just days before publicly presenting disappointing results from the drug’s trial in 2008, D...","Sidney Gilman, a top Alzheimer’s researcher, oversaw the trials for a drug developed by Wyeth and Elan that had the potential to help Alzheimer’s patients. Just days before publicly presenting disappointing results from the drug’s trial in 2008, Dr. Gilman provided the data to Mathew Martoma, a trader affiliated with SAC Capital, prosecutors say, allowing Mr. Martoma to sell the stock and avoid big losses.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Insider Trading', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'SAC Capital Advisors', 'rank': 3, 'major': 'N'}]",2012-12-15T22:05:17+0000,multimedia,Business Day,Business Day,Interactive Feature,nyt://interactive/270befb5-9e75-5c3f-a3a7-5eaf1bc94b40,0,nyt://interactive/270befb5-9e75-5c3f-a3a7-5eaf1bc94b40,A Stock’s Rise and Fall,,,,,,,,[],,,,dementia,
"Since Mom took off in my car almost a year ago, after we had had a fight, I had hidden the keys. Except for this week; after the death of my son, I had forgotten.",https://newoldage.blogs.nytimes.com/2012/12/07/a-son-lost-a-mother-found/,"Since Mom took off in my car almost a year ago, after we had had a fight, I had hidden the keys. Except for this week; after the death of my son, I had forgotten.","My friend Yvonne was already at the front door when I woke, so at first I didn’t realize that my mother was missing.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}]",2012-12-07T19:26:03+0000,article,,Health,News,nyt://article/daa282a1-fae7-59c7-a075-3431e7cbec23,1095,nyt://article/daa282a1-fae7-59c7-a075-3431e7cbec23,"A Son Lost, a Mother Found",The New Old Age,,,,,,By Celia Watson Seupel,"[{'firstname': 'Celia', 'middlename': 'Watson', 'lastname': 'Seupel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
Dr. P. Murali Doraiswamy of Duke University addresses reader questions about the cause and diagnosis of Alzheimer’s disease and other memory problems.,https://www.nytimes.com/2012/11/14/booming/answers-about-alzheimers-part-1.html,Dr. P. Murali Doraiswamy of Duke University addresses reader questions about the cause and diagnosis of Alzheimer’s disease and other memory problems.,"Readers recently submitted more than 100 questions about Alzheimer’s and memory loss to this week’s expert, Dr. P. Murali Doraiswamy, a psychiatry professor at Duke University Medical Center and an author of “The Alzheimer’s Action Plan.” Dr. Doraiswamy has also been an adviser to government agencies, advocacy groups and businesses.",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-jumbo.jpg', 'height': 1024, 'width': 683, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-popup.jpg', 'height': 500, 'width': 333, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-superJumbo.jpg', 'height': 2048, 'width': 1366, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-articleInline.jpg', 'height': 190, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/booming/07expertplea-booming-memory/07expertplea-booming-memory-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Baby Boomers', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 4, 'major': 'N'}]",2012-11-14T16:56:47+0000,article,Styles,Booming,Question,nyt://article/be105615-8c86-52ff-a36c-959e159edf39,3619,nyt://article/be105615-8c86-52ff-a36c-959e159edf39,"Answers About Alzheimer’s, Part 1",Ask an Expert,,,,,,By The New York Times,[],The New York Times,,,dementia,
"In recent years, some research has suggested that a high-fat diet may be bad for the brain, at least in lab animals. Can exercise protect against such damage?",https://well.blogs.nytimes.com/2012/11/07/can-exercise-protect-the-brain-from-fatty-foods/,"In recent years, some research has suggested that a high-fat diet may be bad for the brain, at least in lab animals. Can exercise protect against such damage?","In recent years, some research has suggested that a high-fat diet may be bad for the brain, at least in lab animals. Can exercise protect against such damage? That question may have particular relevance now, with the butter-and cream-laden holidays fast approaching. And it has prompted several new and important studies. ",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2012/11/07/health/07well_physed/07well_physed-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-blog480.jpg', 'height': 319, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'tmagArticle', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-tmagArticle.jpg', 'height': 396, 'width': 592, 'legacy': {}, 'subType': 'tmagArticle', 'crop_name': 'tmagArticle'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-jumbo.jpg', 'height': 565, 'width': 849, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-superJumbo.jpg', 'height': 565, 'width': 849, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'moth', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-moth.jpg', 'height': 151, 'width': 151, 'legacy': {}, 'subType': 'moth', 'crop_name': 'moth'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-articleInline.jpg', 'height': 126, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-sfSpan.jpg', 'height': 263, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2012/11/07/health/07well_physed/07well_physed-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-thumbLarge.jpg', 'height': 150, 'width': 150, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}, {'rank': 0, 'subtype': 'blogSmallThumb', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/11/07/health/07well_physed/07well_physed-blogSmallThumb.jpg', 'height': 50, 'width': 50, 'legacy': {}, 'subType': 'blogSmallThumb', 'crop_name': 'blogSmallThumb'}]","[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Diet and Nutrition', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Exercise', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Rodents', 'rank': 8, 'major': 'N'}]",2012-11-07T05:01:51+0000,article,Science,Health,News,nyt://article/d0066eb9-b1f3-59ac-be0f-ad77bf3e136f,889,nyt://article/d0066eb9-b1f3-59ac-be0f-ad77bf3e136f,Can Exercise Protect the Brain From Fatty Foods?,Well,,,,,,By Gretchen Reynolds,"[{'firstname': 'Gretchen', 'middlename': None, 'lastname': 'Reynolds', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"Even many health care professionals remain unfamiliar with Lewy body dementia, though it affects about 1.3 million people in this country.",https://newoldage.blogs.nytimes.com/2012/09/25/a-form-of-dementia-that-is-often-misdiagnosed/,"Even many health care professionals remain unfamiliar with Lewy body dementia, though it affects about 1.3 million people in this country.","Lori Roberts’s father, who used to deliver the mail in Mitchell, S.D., has undergone startling personality changes. “He used to be very easygoing,” Ms. Roberts said. “Now he’s gotten kind of physical with my mom and my brother, pushing and shoving.” The other day, when her exhausted mother visited him in the nursing home he had recently entered — by sad coincidence, it was their 53rd wedding anniversary – he loudly insisted that she take him to Mexico, immediately.",The New York Times,[],"[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Smith, Paul', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'New York University Langone Medical Center', 'rank': 3, 'major': 'N'}]",2012-09-25T16:58:17+0000,article,,Health,News,nyt://article/f4629317-5639-5657-bf43-14c6b66c138e,873,nyt://article/f4629317-5639-5657-bf43-14c6b66c138e,A Form of Dementia That Is Often Misdiagnosed,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
Children’s books tackle a hard and sensitive topic.,https://newoldage.blogs.nytimes.com/2012/10/05/books-to-teach-children-about-alzheimers/,Children’s books tackle a hard and sensitive topic.,"I stopped at a children’s bookshop in Manhattan last week and asked to see books on Alzheimer’s disease. The store stocked at least half a dozen, with titles like “What’s Wrong with Grandma?” and “What’s Happening to Grandpa?”",The New York Times,[],"[{'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Dementia', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Elder Care', 'rank': 4, 'major': 'N'}]",2012-10-05T17:55:04+0000,article,,Health,News,nyt://article/aae376ca-d19f-564b-ba0d-640b657511ee,730,nyt://article/aae376ca-d19f-564b-ba0d-640b657511ee,Books to Teach Children About Alzheimer’s,The New Old Age,,,,,,By Paula Span,"[{'firstname': 'Paula', 'middlename': None, 'lastname': 'Span', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,dementia,
"About 20 percent of hospital patients over 65 experience delirium-related complications, but with prompt recognition and proper management episodes can be shortened, suffering alleviated and costs reduced.",https://well.blogs.nytimes.com/2012/10/01/vigilance-about-the-dangers-of-delirium/,"About 20 percent of hospital patients over 65 experience delirium-related complications, but with prompt recognition and proper management episodes can be shortened, suffering alleviated and costs reduced.","You don’t have to be elderly, or even very old, to develop delirium, a kind of brain attack often accompanied by hallucinations, agitation and disorientation that can exacerbate illness, increase medical costs and even hasten death.",The New York Times,"[{'rank': 0, 'subtype': 'wide', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-thumbWide.jpg', 'height': 126, 'width': 190, 'legacy': {'widewidth': 190, 'wideheight': 126, 'wide': 'images/2012/10/02/health/02brody-pic/02brody-pic-thumbWide.jpg'}, 'subType': 'wide', 'crop_name': 'thumbWide'}, {'rank': 0, 'subtype': 'blog480', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-blog480.jpg', 'height': 264, 'width': 480, 'legacy': {}, 'subType': 'blog480', 'crop_name': 'blog480'}, {'rank': 0, 'subtype': 'tmagArticle', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-tmagArticle.jpg', 'height': 0, 'width': 0, 'legacy': {}, 'subType': 'tmagArticle', 'crop_name': 'tmagArticle'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-jumbo.jpg', 'height': 563, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-popup.jpg', 'height': 358, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'superJumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-superJumbo.jpg', 'height': 963, 'width': 1750, 'legacy': {}, 'subType': 'superJumbo', 'crop_name': 'superJumbo'}, {'rank': 0, 'subtype': 'moth', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-moth.jpg', 'height': 151, 'width': 151, 'legacy': {}, 'subType': 'moth', 'crop_name': 'moth'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-articleInline.jpg', 'height': 105, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-sfSpan.jpg', 'height': 217, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-thumbStandard.jpg', 'height': 0, 'width': 0, 'legacy': {'thumbnail': 'images/2012/10/02/health/02brody-pic/02brody-pic-thumbStandard.jpg', 'thumbnailwidth': 0, 'thumbnailheight': 0}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}, {'rank': 0, 'subtype': 'thumbLarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2012/10/02/health/02brody-pic/02brody-pic-thumbLarge.jpg', 'height': 0, 'width': 0, 'legacy': {}, 'subType': 'thumbLarge', 'crop_name': 'thumbLarge'}]","[{'name': 'subject', 'value': 'Dementia', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elderly', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Hospitals', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Sedatives', 'rank': 5, 'major': 'N'}]",2012-10-01T15:51:54+0000,article,,Health,News,nyt://article/f8a9ac7a-bac7-53e9-94c9-58e2e96be0a5,1007,nyt://article/f8a9ac7a-bac7-53e9-94c9-58e2e96be0a5,Vigilance About the Dangers of Delirium,Well,,Vigilance About the Dangers of Delirium,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,7,dementia,
